recordNumber,dwc:genus,species,Day,Month,Year,Day.of.the.year
7ddf754f-d193-4cc9-b351-99906754a03b,psychotria megalopus,psychotria megalopus verdc.,30,7,1999,211
,psychotria megistantha,psychotria megistantha,26,9,2000,270
f-186,psychotria,psychotria megistantha e.m.a. petit,26,9,2000,270
g2-167,psydrax,psydrax,12,10,2002,285
f-547,psydrax,psydrax gaertn.,19,6,2018,170
g2-159,psydrax,psydrax gaertn.,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,psydrax dicoccos,psydrax gaertn.,31,10,2005,304
7ddf754f-d193-4cc9-b351-99906754a03b,psydrax dicoccos,psydrax gaertn.,31,10,2005,304
f-369,psydrax,psydrax kraussioides (hiern) bridson,4,4,1999,94
f-1084,psydrax,psydrax livida (hiern) bridson,15,3,2006,74
t-127,psydrax,psydrax livida (hiern) bridson,3,6,2002,154
g2-60,psydrax,psydrax parviflora subsp. rubrocostata (robyns) bridson,6,11,2005,310
f-338,pteleopsis,pteleopsis myrtifolia (m.a. lawson) engl. & diels,11,1,1999,11
g2-292,pteleopsis,pteleopsis sp. engl.,6,6,2002,157
,pteris catoptera,pteris catoptera,31,8,1999,243
f-316,pteris,pteris similis kuhn,16,3,1906,75
f-712,pterocarpus,pterocarpus angolensis dc.,17,1,1999,17
7ddf754f-d193-4cc9-b351-99906754a03b,,pterocarpus jacq.,24,8,2010,236
f-187,puelia,puelia olyriformis (franch.) clayton,13,3,2006,72
f-982,pupalia,pupalia lappacea var. velutina (moq.) hook. f.,16,3,2003,75
f-1197,pycreus,pycreus mundtii nees,2,11,2005,306
f-620,pyrrosia,pyrrosia schimperiana (mett. ex kuhn) alston,4,11,1997,308
f-183,ranunculus,ranunculus multifidus,22,10,1996,296
g2-255,raphidiocystis,raphidiocystis chrysocoma (schumach.) c. jeffrey,8,6,2018,159
,rauvolfia,rauvolfia  l.,29,10,2005,302
f-286,rauvolfia,rauvolfia caffra,5,10,1998,278
g2-180,rauvolfia,rauvolfia caffra sond.,6,1,1999,6
f-648,rauvolfia,rauvolfia caffra sond.,6,1,1999,6
f-931,rauvolfia,rauvolfia caffra sond.,5,10,1998,278
f-106,rauvolfia,rauvolfia caffra sond.,5,10,1998,278
g1-167,rauvolfia,rauvolfia l.,29,10,2005,302
f-293,rauvolfia,rauvolfia mannii stapf,24,10,2005,297
7ddf754f-d193-4cc9-b351-99906754a03b,rauvolfia mannii,rauvolfia mannii stapf,18,6,2018,169
g1-152,rauvolfia,rauvolfia mombasiana stapf,1,6,1999,152
g1-252,rawsonia,rawsonia harv. & sond.,22,8,2010,234
t-190,rawsonia,rawsonia harv. & sond.,23,8,2010,235
f-695,rhamnus,rhamnus prinoides l'hér.,22,7,1999,203
g2-67,rhamnus,rhamnus prinoides l'hér.,30,7,1999,211
g1-363,rhipidoglossum,rhipidoglossum schltr.,7,11,2005,311
g2-349,rhipsalis,rhipsalis baccifera (j.s.muell.) stearn,28,11,1999,332
g2-157,rhipsalis,rhipsalis baccifera (sol.) stearn,28,11,1999,332
f-935,rhodobryum,rhodobryum keniae (müll. hal.) broth.,3,4,1999,93
f-213,rhodopentas,rhodopentas bussei (k. krause) kårehed & b. bremer,10,3,2006,69
,rhoicissus digitata,rhoicissus planch. in a. de candolle & c. de candolle,5,7,1995,186
g1-251,rhoicissus,rhoicissus tridentata (l. f.) wild & r.b. drumm.,22,7,1999,203
f-707,rhoicissus,rhoicissus tridentata (l. f.) wild & r.b. drumm.,8,9,1999,251
f-1153,rhoicissus,rhoicissus tridentata (l. f.) wild & r.b. drumm.,29,10,2005,302
7ddf754f-d193-4cc9-b351-99906754a03b,rhus variifolia,rhus l.,29,10,2005,302
f-1174,searsia,rhus longipes engl.,4,4,1999,94
f-242,rhynchosia,rhynchosia goetzei var. goetzei,25,5,2002,145
f-153,rhynchosia,rhynchosia orthobotrya,9,6,1999,160
7ddf754f-d193-4cc9-b351-99906754a03b,rhynchosia orthobotrya,rhynchosia orthobotrya harms,9,6,1999,160
f-270,rhynchosia,rhynchosia procurrens (hiern) k. schum.,22,7,1999,203
g2-154,rhynchosia,rhynchosia sublobata (schumach. & thonn.) meikle,28,11,1999,332
f-1039,ricinodendron,ricinodendron heudelotii (baill.) pierre ex heckel,6,1,1999,6
g1-63,ricinodendron,ricinodendron heudelotii subsp. africanum (müll. arg.) j. léonard,5,11,1997,309
d9a4eedb-e985-4456-ad46-3df8472e00e8,ricinodendron heudelotii,ricinodendron heudelotii var. tomentellum (hutch. & e.a. bruce) radcl.-sm.,11,11,1997,315
g1-266,ricinus,ricinus communis l.,2,1,1999,2
f-449,rinorea,rinorea  aubl.,28,11,2006,332
7ddf754f-d193-4cc9-b351-99906754a03b,rinorea,rinorea  aubl.,28,11,2006,332
7ddf754f-d193-4cc9-b351-99906754a03b,rinorea,rinorea  aubl.,28,11,2006,332
f-572,rinorea,rinorea angustifolia subsp. ardisiiflora (welw. ex oliv.) grey-wilson,8,6,2018,159
g1-191,rinorea,rinorea aubl.,16,5,2001,136
g1-248,rinorea,rinorea aubl.,27,10,2005,300
t-73,rinorea,rinorea ferruginea engl.,29,11,1999,333
g2-302,rinorea,rinorea ferruginea engl.,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,rinorea ilicifolia ilicifolia,rinorea ilicifolia subsp. ilicifolia,6,10,2001,279
f-1230,rinorea,rinorea subintegrifolia (p. beauv.) kuntze,9,11,2005,313
f-797,ritchiea,ritchiea capparoides (andrews) britten,14,1,1999,14
g1-254,undesignated,rosaceae juss.,3,4,1999,93
g2-459,rotheca,rotheca myricoides subsp. myricoides,28,6,1995,179
f-133,rotheca,rotheca myricoides subsp. myricoides,28,6,1995,179
g1-166,rotheca,rotheca myricoides subsp. myricoides,6,10,1998,279
t-177,rotheca,rotheca raf.,3,11,2005,307
g1-206,rotheca,rotheca sansibarensis (gürke) steane & mabb.,13,7,1999,194
f-1213,rotheca,rotheca sansibarensis subsp. sansibarensis,10,10,1998,283
f-129,rothmannia,rothmannia thunb.,2,11,2005,306
f-347,rothmannia,rothmannia urcelliformis (schweinf. ex hiern) bullock ex robyns,28,6,2002,179
g1-188,rothmannia,rothmannia urcelliformis (schweinf. ex hiern) bullock ex robyns,26,10,2005,299
f-324,rothmannia,rothmannia urcelliformis (schweinf. ex hiern) bullock ex robyns,26,11,1999,330
f-275,rothmannia,rothmannia urcelliformis (schweinf. ex hiern) bullock ex robyns,28,11,1999,332
t-105,rourea,rourea coccinea subsp. boiviniana (baill.) jongkind,28,9,2000,272
f-202,rourea,rourea coccinea subsp. boiviniana (baill.) jongkind,4,11,1999,308
,rourea coccinea,rourea coccinea subsp. boiviniana (baill.) jongkind,12,11,1997,316
f-361,rourea,rourea orientalis baill.,3,4,1999,93
g1-394,rourea,rourea thomsonii (baker) jongkind,31,7,1999,212
g2-401,rourea,rourea thomsonii (baker) jongkind,29,10,2005,302
f-832,rubia,rubia cordifolia subsp. conotricha (gand.) verdc.,22,7,1999,203
7ddf754f-d193-4cc9-b351-99906754a03b,rubus apetalus,rubus apetalus poir.,5,11,1905,309
f-615,rubus,rubus l.,16,6,2018,167
f-1099,rubus,rubus pinnatus willd.,24,7,1999,205
f-514,rubus,rubus rigidus sm.,6,8,1999,218
7ddf754f-d193-4cc9-b351-99906754a03b,,ruellia patula,16,1,1999,16
g2-20,ruellia,ruellia patula jacq.,16,1,1999,16
f-1107,rumex,rumex usambarensis (dammer) dammer,5,8,1999,217
g1-372,undesignated,rutaceae juss.,4,4,1999,94
f-1106,undesignated,rutaceae juss.,7,4,1999,97
g2-183,rutidea,rutidea dc.,15,6,2018,166
f-1079,rutidea,rutidea dc.,2,11,2005,306
f-781,rutidea,rutidea fuscescens subsp. bracteata bridson,30,7,1999,211
f-332,rutidea,rutidea orientalis bridson,28,11,1999,332
g2-282,rytigynia,rytigynia binata,13,10,2002,286
g2-467,rytigynia,rytigynia blume,10,3,2006,69
t-47,rytigynia,rytigynia blume,10,3,2006,69
f-862,rytigynia,rytigynia blume,24,8,2010,236
f-1090,rytigynia,rytigynia blume,24,10,2005,297
f-610,rytigynia,rytigynia bugoyensis subsp. glabriflora verdc.,4,10,2001,277
f-235,rytigynia,rytigynia caudatissima verdc.,8,6,2002,159
g1-207,rytigynia,rytigynia celastroides (baill.) verdc.,3,4,1999,93
t-24,rytigynia,rytigynia celastroides (baill.) verdc.,3,4,1999,93
g2-42,rytigynia,rytigynia cf. saliciensis,17,3,2003,76
t-187,rytigynia,rytigynia decussata (k. schum.) robyns,3,6,2002,154
f-325,vangueria,rytigynia fuscosetulosa verdc.,16,7,1999,197
g2-105,rytigynia,rytigynia hirsutiflora,16,10,2002,289
f-928,rytigynia,rytigynia hirsutiflora verdc.,30,9,2000,274
f-67,rytigynia,rytigynia lichenoxenos subsp. glabrituba verdc.,12,10,2002,285
f-631,rytigynia,rytigynia lichenoxenos subsp. glabrituba verdc.,23,11,1999,327
f-609,rytigynia,rytigynia pseudolongicaudata verdc.,15,6,2018,166
g2-350,rytigynia,rytigynia pseudolongicaudata verdc.,27,9,2000,271
g2-1,rytigynia,rytigynia pseudolongicaudata verdc.,24,10,2005,297
f-1190,rytigynia,rytigynia stolzii robyns,7,4,1999,97
g2-103,rytigynia,rytigynia uhligii (k. schum. & k. krause) verdc.,27,10,2005,300
t-98,saba,saba comorensis (bojer ex a. dc.) pichon,6,10,1998,279
g1-37,saba,saba comorensis (bojer ex a. dc.) pichon,23,12,1998,357
f-269,saba,saba comorensis (bojer ex a.dc.) pichon,6,10,1998,279
7ddf754f-d193-4cc9-b351-99906754a03b,saba comorensis,saba comorensis (bojer ex a.dc.) pichon,23,12,1998,357
g1-72,sabicea,sabicea aubl.,26,10,2005,299
g2-391,sabicea,sabicea orientalis wernham,11,3,2006,70
g2-359,sabicea,sabicea orientalis wernham,3,4,1999,93
f-910,sabicea,sabicea orientalis wernham,3,4,1999,93
7ddf754f-d193-4cc9-b351-99906754a03b,sabicea orientalis,sabicea orientalis wernham,2,4,1999,92
7ddf754f-d193-4cc9-b351-99906754a03b,sabicea orientalis,sabicea orientalis wernham,16,10,1998,289
f-104,saintpaulia,saintpaulia  h.wendl.,28,11,2006,332
7ddf754f-d193-4cc9-b351-99906754a03b,saintpaulia,saintpaulia  h.wendl.,28,11,2006,332
g1-317,saintpaulia,saintpaulia ionantha subsp. grotei (engl.) i. darbysh.,28,6,2002,179
f-746,saintpaulia,saintpaulia ionantha subsp. grotei (engl.) i. darbysh.,15,10,2001,288
g1-112,saintpaulia,saintpaulia ionantha subsp. grotei (engl.) i. darbysh.,27,10,2005,300
t-118,saintpauliopsis,saintpauliopsis lebrunii staner,27,10,2005,300
f-1188,salacia,salacia l.,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,salacia lehmbachii,salacia lehmbachii loes.,26,10,2005,299
f-699,salacia,salacia pyriformis (sabine) steud.,16,3,2006,75
f-1120,salacia,salacia pyriformis (sabine) steud.,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,salvadora persica,salvadora persica var. pubescens brenan,7,9,1999,250
f-1059,sanicula,sanicula elata buch.-ham. ex d. don,27,10,2005,300
f-872,sanicula,sanicula elata buch.-ham. ex d. don,28,11,1999,332
g2-495,sansevieria,sansevieria dawei stapf,16,3,2003,75
g2-377,sansevieria,sansevieria dawei stapf,16,3,2003,75
7ddf754f-d193-4cc9-b351-99906754a03b,,sapindaceae juss.,16,5,2001,136
g2-262,shirakiopsis,sapium ellipticum,14,9,1999,257
7ddf754f-d193-4cc9-b351-99906754a03b,,sapotaceae juss.,16,5,2001,136
f-661,undesignated,sapotaceae juss.,23,8,2010,235
7ddf754f-d193-4cc9-b351-99906754a03b,satureja,satureja punctata (benth.) briq.,22,7,1999,203
7ddf754f-d193-4cc9-b351-99906754a03b,satyrium chlorocorys,satyrium chlorocorys rchb. f. ex rolfe,22,7,1999,203
f-914,satyrium,satyrium crassicaule rendle,14,12,1997,348
f-810,scadoxus,scadoxus multiflorus subsp. multiflorus,11,3,2006,70
g2-104,scadoxus,scadoxus multiflorus subsp. multiflorus,1,11,2005,305
f-1220,scadoxus,scadoxus puniceus (l.) friis & nordal,24,10,2005,297
g1-169,scadoxus,scadoxus raf.,13,3,2006,72
g1-84,schizoboea,schizoboea kamerunensis (engl.) b.l. burtt,13,10,2002,286
,schizozygia coffaeoides,schizozygia coffaeoides,14,1,1999,14
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,14,1,1999,14
f-887,schizozygia,schizozygia coffaeoides,13,4,1999,103
f-882,schizozygia,schizozygia coffaeoides,28,6,1999,179
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,1,7,1999,182
,schizozygia coffaeoides,schizozygia coffaeoides,20,10,1998,293
f-496,schizozygia,schizozygia coffaeoides,23,12,1998,357
,schizozygia coffaeoides,schizozygia coffaeoides,23,12,1998,357
g1-41,schizozygia,schizozygia coffaeoides,14,1,1999,14
f-160,schizozygia,schizozygia coffaeoides,14,1,1999,14
g1-38,schizozygia,schizozygia coffaeoides,3,2,1999,34
f-545,schizozygia,schizozygia coffaeoides,3,2,1999,34
f-295,schizozygia,schizozygia coffaeoides,3,2,1999,34
f-495,schizozygia,schizozygia coffaeoides,13,4,1999,103
f-342,schizozygia,schizozygia coffaeoides,13,4,1999,103
t-33,schizozygia,schizozygia coffaeoides,28,6,1999,179
g2-136,schizozygia,schizozygia coffaeoides,20,10,1998,293
g1-315,schizozygia,schizozygia coffaeoides,20,10,1998,293
f-349,schizozygia,schizozygia coffaeoides,23,12,1998,357
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,14,1,1999,14
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,1,7,1999,182
7ddf754f-d193-4cc9-b351-99906754a03b,schizozygia coffaeoides,schizozygia coffaeoides,23,12,1998,357
f-852,schoenoxiphium,schoenoxiphium nees,16,7,1999,197
g1-376,schrebera,schrebera alata (hochst.) welw.,7,4,1999,97
f-575,schrebera,schrebera alata (hochst.) welw.,18,6,2018,169
7ddf754f-d193-4cc9-b351-99906754a03b,schrebera alata,schrebera alata (hochst.) welw.,4,4,1999,94
7ddf754f-d193-4cc9-b351-99906754a03b,schrebera alata,schrebera alata (hochst.) welw.,29,10,2005,302
g2-191,scleria,scleria lithosperma (l.) sw.,14,6,1995,165
f-333,scleria,scleria p.j. bergius,10,3,2006,69
g1-144,scleria,scleria p.j. bergius,5,4,1999,95
t-184,scleria,scleria p.j. bergius,1,7,1999,182
g2-161,sclerochiton,sclerochiton glandulosissimus ,4,4,1999,94
g1-175,sclerochiton,sclerochiton glandulosissimus ,25,6,1995,176
g2-304,sclerochiton,sclerochiton glandulosissimus ,23,9,2001,266
f-336,sclerochiton,sclerochiton glandulosissimus ,24,10,2005,297
g1-218,sclerochiton,sclerochiton glandulosissimus ,8,11,2005,312
7ddf754f-d193-4cc9-b351-99906754a03b,sclerochiton glandulosissimus,sclerochiton glandulosissimus ,7,6,2002,158
f-957,sclerochiton,sclerochiton tanzaniensis ,19,6,1979,170
g1-130,sclerochiton,sclerochiton tanzaniensis ,6,6,2002,157
g1-21,sclerochiton,sclerochiton tanzaniensis ,29,6,2002,180
f-8,sclerochiton,sclerochiton tanzaniensis ,30,8,1984,243
g2-205,sclerochiton,sclerochiton tanzaniensis ,6,10,2001,279
7ddf754f-d193-4cc9-b351-99906754a03b,sclerochiton tanzaniensis,sclerochiton tanzaniensis ,7,6,1980,159
t-152,sclerochiton,sclerochiton uluguruensis,1,10,2001,274
f-640,sclerochiton,sclerochiton uluguruensis,7,11,2005,311
,sclerochiton uluguruensis,sclerochiton uluguruensis,14,2,2000,45
7ddf754f-d193-4cc9-b351-99906754a03b,sclerochiton uluguruensis,sclerochiton uluguruensis,13,7,1999,194
7ddf754f-d193-4cc9-b351-99906754a03b,sclerochiton uluguruensis,sclerochiton uluguruensis,15,10,2002,288
f-464,scolopia,scolopia schreb.,29,7,1999,210
7ddf754f-d193-4cc9-b351-99906754a03b,,scrophulariaceae juss.,12,2,2000,43
g2-523,undesignated,scrophulariaceae juss.,24,5,2019,144
g2-212,scutia,scutia myrtina (burm. f.) kurz,16,4,2002,106
7ddf754f-d193-4cc9-b351-99906754a03b,selaginella kraussiana,selaginella kraussiana,16,7,1999,197
7ddf754f-d193-4cc9-b351-99906754a03b,selaginella kraussiana,selaginella kraussiana (kunze) a. braun,16,7,1999,197
,selaginella mittenii,selaginella mittenii baker,6,11,1997,310
g1-375,senecio,senecio deltoideus less.,22,7,1999,203
f-1102,senecio,senecio depauperatus mattf.,31,5,2002,151
g1-326,senecio,senecio l.,27,10,2005,300
g1-18,senecio,senecio syringifolius o. hoffm.,13,7,1999,194
g1-141,senecio,senecio syringifolius o. hoffm.,26,11,1999,330
7ddf754f-d193-4cc9-b351-99906754a03b,senecio syringifolius,senecio syringifolius o. hoffm.,9,8,1999,221
,senna obtusifolia,senna obtusifolia,4,6,1999,155
7ddf754f-d193-4cc9-b351-99906754a03b,senna obtusifolia,senna obtusifolia (l.) h. s. irwin & barneby,1,6,1999,152
f-1166,senna,senna obtusifolia (l.) h.s. irwin & barneby,1,6,1999,152
f-47,senna,senna obtusifolia (l.) h.s. irwin & barneby,4,6,1999,155
g2-424,senna,senna occidentalis (l.) link,8,1,1999,8
g1-50,senna,senna occidentalis (l.) link,19,5,1999,139
t-45,senna,senna occidentalis (l.) link,24,12,1998,358
,senna occidentalis,senna occidentalis (l.) link,19,5,1999,139
7ddf754f-d193-4cc9-b351-99906754a03b,senna occidentalis,senna occidentalis (l.) link,24,12,1998,358
f-1056,senna,senna singueana (delile) lock,29,10,1998,302
g1-35,senna,senna singueana (delile) lock,9,11,2005,313
f-381,sesamum,sesamum angolense welw.,15,9,1999,258
f-259,setaria,setaria megaphylla (steud.) t. durand & schinz,30,6,1999,181
f-306,setaria,setaria megaphylla (steud.) t. durand & schinz,16,7,1999,197
g2-330,setaria,setaria petiolata stapf & c. e. hubb.,14,6,1995,165
g2-45,setaria,setaria plicatilis (hochst.) hack. ex engl.,12,7,1999,193
f-184,seychellaria,seychellaria africana vollesen,11,1,2014,11
7ddf754f-d193-4cc9-b351-99906754a03b,,shirakia elliptica,28,11,1999,332
f-934,shirakiopsis,shirakia elliptica (hochst.) kruijt,28,11,1999,332
f-297,shirakiopsis,shirakiopsis elliptica (hochst.) esser,14,9,1999,257
g2-87,shirakiopsis,shirakiopsis elliptica (hochst.) esser,26,10,2005,299
f-1110,sibangea,sibangea pleioneura radcl.-sm.,23,10,1905,296
7ddf754f-d193-4cc9-b351-99906754a03b,sibangea pleioneura,sibangea pleioneura radcl.-sm.,25,9,1900,268
g2-260,sibangea,sibangea pleioneura smith,25,9,2000,269
g2-319,sibangea,sibangea pleioneura smith,17,11,1983,321
f-428,sida,sida acuta burm. f.,5,4,1999,95
g1-210,sida,sida acuta burm. f.,19,5,1999,139
66dd0960-2d7d-46ee-a491-87b9adcfe7b1,sida,sida l.,24,5,2019,144
6cfd67d6-4f9b-400b-8549-1933ac27936f,sida,sida l.,14,7,1999,195
f-457,siphonochilus,siphonochilus j.m. wood & franks,10,12,1999,344
t-65,siphonochilus,siphonochilus kirkii (hook. f.) b.l. burtt,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,siphonochilus kirkii,siphonochilus kirkii (hook. f.) b.l. burtt,5,2,1999,36
g1-86,smilax,smilax anceps willd.,27,1,1999,27
f-988,smilax,smilax anceps willd.,2,4,1999,92
t-60,smilax,smilax anceps willd.,3,4,1999,93
f-904,smilax,smilax anceps willd.,3,4,1999,93
g1-221,smilax,smilax anceps willd.,12,11,1999,316
7ddf754f-d193-4cc9-b351-99906754a03b,smilax anceps,smilax anceps willd.,12,7,1999,193
g1-365,smithia,smithia elliotii var. elliotii,22,7,1999,203
f-501,undesignated,solanaceae juss.,16,7,1999,197
g1-44,solanecio,solanecio epidendricus (mattf.) c. jeffrey,4,10,2000,278
g2-185,solanecio,solanecio epidendricus (mattf.) c. jeffrey,4,11,2005,308
f-997,solanecio,solanecio kangae q. luke & beentje,25,9,2001,268
f-798,solanecio,solanecio mannii (hook. f.) c. jeffrey,31,10,2005,304
g2-81,solanum,solanum aculeatissimum jacq.,10,3,2006,69
f-304,solanum,solanum aculeatissimum jacq.,10,3,2006,69
g2-390,solanum,solanum aculeatissimum jacq.,3,10,2000,277
g1-94,solanum,solanum aculeatissimum jacq.,31,10,2005,304
g1-386,solanum,solanum aculeatissimum jacq.,2,11,2005,306
f-1003,solanum,solanum aculeatissimum jacq.,2,11,2005,306
,solanum aculeatissimum,solanum aculeatissimum jacq.,22,7,1999,203
g2-299,solanum,solanum anguivi lam.,16,7,1999,197
f-1027,solanum,solanum anguivi lam.,16,7,1999,197
g2-267,solanum,solanum anguivi lam.,23,9,2001,266
f-993,solanum,solanum anguivi lam.,1,11,2005,305
f-284,solanum,solanum anguivi lam.,1,11,2005,305
f-827,solanum,solanum inaequiradians werderm.,27,10,1905,300
f-1081,solanum,solanum l.,28,3,1996,88
t-20,solanum,solanum richardii dunal,2,1,1999,2
g2-497,solanum,solanum richardii dunal,24,9,2000,268
g2-515,solanum,solanum richardii dunal,27,10,2005,300
7ddf754f-d193-4cc9-b351-99906754a03b,solanum richardii,solanum richardii dunal,24,9,2000,268
f-1149,solanum,solanum scabrum mill.,16,10,1998,289
f-21,solanum,solanum schumannianum dammer,22,7,1999,203
g2-293,solanum,solanum schumannianum dammer,31,7,1999,212
g2-300,solanum,solanum schumannianum dammer,31,7,1999,212
f-855,solanum,solanum schumannianum dammer,3,11,2005,307
f-1049,solanum,solanum stipitatostellatum dammer,9,11,2005,313
g2-133,solanum,solanum stipitato-stellatum dammer,9,11,2005,313
g2-527,solanum,solanum terminale forssk.,15,7,1999,196
f-1117,solanum,solanum terminale forssk.,5,11,2005,309
g2-265,solanum,solanum terminale forssk.,10,12,1996,345
g2-114,solanum,solanum terminale forssk.,10,12,1996,345
f-488,solanum,solanum thomsonii c.h. wright,8,9,1999,251
g2-470,solanum,solanum thomsonii c.h.wright,11,10,2002,284
f-1037,solanum,solanum zanzibarense vatke,3,11,1998,307
f-210,solenostemon,solenostemon silvaticus (gürke) agnew,12,8,1999,224
f-922,sonchus,sonchus oleraceus l.,26,10,2005,299
f-861,sopubia,sopubia mannii var. tenuifolia (engl. & gilg) hepper,10,12,1999,344
g2-63,sorindeia,sorindeia madagascariensis dc.,28,11,1999,332
g2-130,sorindeia,sorindeia madagascariensis dc.,29,11,1999,333
g2-147,sparrmannia,sparrmannia ricinocarpa (eckl. & zeyh.) kuntze,22,7,1999,203
g1-318,sparrmannia,sparrmannia ricinocarpa (eckl. & zeyh.) kuntze,29,7,1999,210
g2-201,sparrmannia,sparrmannia ricinocarpa var. ricinocarpa,12,6,2018,163
7ddf754f-d193-4cc9-b351-99906754a03b,spermacoce dibrachiata,spermacoce dibrachiata oliv.,15,7,1999,196
f-770,spermacoce,spermacoce natalensis hochst.,15,9,1999,258
g2-466,spermacoce,spermacoce ocymoides burm.f.,17,3,2006,76
f-487,spermacoce,spermacoce princeae,1,7,1999,182
f-560,sphaeranthus,sphaeranthus suaveolens (forssk.) dc.,5,9,1999,248
f-1053,sphaerocoryne,sphaerocoryne gracilis subsp. gracilis,5,11,1997,309
f-207,sphaerostephanos,sphaerostephanos arbuscula subsp. africanus holttum,5,11,1997,309
7ddf754f-d193-4cc9-b351-99906754a03b,sphaerostephanos unitus,sphaerostephanos unitus (l.) holttum,10,11,1997,314
f-252,sphenoclea,sphenoclea zeylanica gaertn.,4,1,1999,4
g2-324,stachys,stachys glandulibracteata y.b.harvey,30,5,2002,150
f-830,stapfiella,stapfiella claoxyloides gilg,27,5,2002,147
g2-164,stathmostelma,stathmostelma pedunculatum (decne.) k. schum.,15,9,1999,258
f-711,steganotaenia,steganotaenia araliacea hochst.,4,1,1999,4
f-877,stellaria,stellaria l.,5,11,2005,309
f-558,stenandriopsis,stenandrium afromontanum (mildbr.) vollesen,16,4,1984,107
g2-175,stenandriopsis,stenandrium afromontanum (mildbr.) vollesen,27,9,2001,270
g2-23,stenandrium,stenandrium grandiflorum vollesen,22,6,1995,173
g2-27,stephania,stephania abyssinica (quart.-dill. & a. rich.) walp.,28,11,1999,332
f-164,stephania,stephania abyssinica var. abyssinica,5,11,2005,309
f-1017,stephania,stephania lour.,1,11,2005,305
t-19,sterculia,sterculia quinqueloba (garcke) k. schum.,29,6,1995,180
f-740,stereospermum,stereospermum kunthianum cham.,6,1,1999,6
g2-331,sticherus,sticherus flagellaris subsp. tomentosus (reimers) verdc.,3,10,2000,277
g2-460,stolzia,stolzia christopheri p.j.cribb,2,10,2000,276
,streblus usambarensis,streblus usambarensis (engl.) c.c. berg,18,3,1906,77
f-911,streptocarpus,streptocarpus glandulosissimus engl.,12,2,2000,43
7ddf754f-d193-4cc9-b351-99906754a03b,streptocarpus glandulosissimus,streptocarpus glandulosissimus engl.,29,6,2002,180
f-976,streptocarpus,streptocarpus inflatus b.l. burtt,7,11,2005,311
g2-365,streptocarpus,streptocarpus lindl.,5,11,2005,309
g2-416,streptocarpus,streptocarpus pallidiflorus c.b. clarke,4,4,1999,94
g2-39,streptocarpus,streptocarpus pallidiflorus c.b. clarke,24,10,2005,297
f-17,streptogyna,streptogyna crinita p. beauv.,4,6,1999,155
f-554,strombosia,strombosia scheffleri engl.,8,6,2018,159
f-1131,strombosiopsis,strombosiopsis engl.,4,11,2005,308
7ddf754f-d193-4cc9-b351-99906754a03b,strophanthus courmontii,strophanthus courmontii,20,10,1998,293
f-704,strophanthus,strophanthus courmontii sacleux ex franch.,20,10,1998,293
7ddf754f-d193-4cc9-b351-99906754a03b,strophanthus courmontii,strophanthus courmontii sacleux ex franch.,20,10,1998,293
f-1109,strophanthus,strophanthus dc.,28,6,2002,179
g1-311,strychnos,strychnos l.,11,3,2006,70
f-200,strychnos,strychnos l.,24,8,2010,236
f-1219,strychnos,strychnos madagascariensis poir.,17,1,1999,17
f-20,strychnos,strychnos madagascariensis poir.,17,1,1999,17
f-596,strychnos,strychnos mellodora s. moore,8,6,2018,159
t-139,suregada,suregada lithoxyla (pax & k. hoffm.) croizat,30,9,1901,273
g1-17,suregada,suregada procera (prain) croizat,31,10,2005,304
f-1216,suregada,suregada roxb. ex rottler,22,8,2010,234
g1-128,swertia,swertia kilimandscharica engl.,22,7,1999,203
,synaptolepis alternifolia,synaptolepis alternifolia oliv.,4,1,1999,4
,synaptolepis oliveriana,synaptolepis kirkii,4,1,1999,4
g2-421,synaptolepis,synaptolepis kirkii oliv.,25,9,2000,269
g1-148,synaptolepis,synaptolepis kirkii oliv.,26,10,2005,299
g2-141,synedrella,synedrella nodiflora (l.) gaertn.,19,5,1999,139
7ddf754f-d193-4cc9-b351-99906754a03b,synedrella nodiflora,synedrella nodiflora (l.) gaertn.,19,5,1999,139
f-1141,synsepalum,synsepalum msolo (engl.) t.d. penn.,16,10,1998,289
g1-259,syzygium,syzygium cordatum hochst.,1,11,1999,305
g2-224,syzygium,syzygium guineense subsp. afromontanum f. white,8,6,2018,159
g2-5,syzygium,syzygium guineense subsp. afromontanum f. white,15,10,2001,288
f-561,syzygium,syzygium p. browne ex gaertn.,9,6,2018,160
g1-182,tabernaemontana,tabernaemontana l.,22,6,2002,173
f-537,tabernaemontana,tabernaemontana l.,28,8,2010,240
f-147,tabernaemontana,tabernaemontana odoratissima (stapf) leeuwenb.,13,3,2006,72
