gbif:canonicalName,FAMILY,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
schoenoplectiella roylei,,schoenoplectiella,schoenoplectus roylei (nees) ovcz. & czukav.,roylei,,,,
schoenoplectus triqueter,,schoenoplectus,schoenoplectus triqueter (l.) palla var. segregatus (c.b.clarke) karthik.,triqueter,1,3,1872,61
schoenoplectus triqueter,,schoenoplectus,schoenoplectus triqueter (l.) palla var. segregatus (c.b.clarke) karthik.,triqueter,4,5,1883,131
schoenoplectus triqueter,,schoenoplectus,schoenoplectus triqueter (l.) palla var. segregatus (c.b.clarke) karthik.,triqueter,11,5,1883,124
schoenoplectus wallichii,,schoenoplectus,schoenoplectus wallichii (nees) t.koyama,wallichii,,,,
schoepfia acuminata,,schoepfia,schoepfia acuminata wall.,acuminata,,,,
schoepfia fragrans,,schoepfia,schoepfia fragrans wall.,fragrans,,,,
donax canniformis,,donax,schumannianthus benthamianus (kuntze) veldkamp & i.m.turner,canniformis,,,,
sciaphila khasiana,,sciaphila,sciaphila khasiana benth. & hook.f.,khasiana,19,9,1850,262
scindapsus,,scindapsus,scindapsus,,4,6,1999,155
scindapsus officinalis,,scindapsus,scindapsus officinalis,officinalis,17,7,1992,112
scindapsus officinalis,,scindapsus,scindapsus officinalis,officinalis,22,4,1886,199
scindapsus pictus,,scindapsus,scindapsus pictus hassk.,pictus,4,6,1999,155
,,scirpus,scirpus affinis roth,affinis,,,,227
,,scirpus,scirpus grossus l.f.,grossus,21,4,1994,130
,,scirpus,scirpus pectinatus roxb.,pectinatus,,,,
scleria biflora,,scleria,scleria biflora roxb.,biflora,,,,
,,scleria,scleria caricina benth.,caricina,,,,73
scleria terrestris terrestris,,scleria,scleria melanostoma boeckeler,terrestris,1,10,1836,
scleria terrestris terrestris,,scleria,scleria melanostoma boeckeler,terrestris,,,,275
scleria pergracilis,,scleria,scleria pergracilis (nees) kunth,pergracilis,,,,
,,scleria,scleria sp.,sp.,17,7,1992,135
,,scleria,scleria sp.,sp.,15,8,1992,
miscanthus fuscus,,miscanthus,sclerostachya fusca,fuscus,24,6,1872,176
miscanthus fuscus,,miscanthus,sclerostachya fusca,fuscus,,,,
,,scoparia,scoparia dulcis,dulcis,10,7,1992,
,,scoparia,scoparia dulcis,dulcis,18,7,1992,73
,,scoparia,scoparia dulcis l.,dulcis,17,5,1999,
scurrula gracilifolia,,scurrula,scurrula gracilifolia (schult.) danser,gracilifolia,29,12,1850,363
scurrula gracilifolia,,scurrula,scurrula gracilifolia (schult.) danser,gracilifolia,29,12,1850,363
scurrula pulverulenta,,scurrula,scurrula pulverulenta (wall.) g.don,pulverulenta,2,4,1997,92
taxillus thelocarpa,,taxillus,scurrula thelocarpa danser,thelocarpa,9,1,1857,
taxillus thelocarpa,,taxillus,scurrula thelocarpa danser,thelocarpa,,,,9
scurrula umbellifera,,scurrula,scurrula umbelifer (schult.f.) g.don,umbellifera,,,,
scutellaria,,scutellaria,scutellaria  l.,,28,10,1978,301
scutellaria discolor,,scutellaria,scutellaria discolor,discolor,10,10,1872,
scutellaria discolor,,scutellaria,scutellaria discolor colebr.,discolor,,,,
scutellaria discolor,,scutellaria,scutellaria discolor colebr.,discolor,,,,284
scutellaria discolor,,scutellaria,scutellaria discolor colebr.,discolor,,,,
scutellaria hastifolia,,scutellaria,scutellaria hastifolia,hastifolia,19,6,1868,171
scutellaria barbata,,scutellaria,scutellaria rivularis wall.,barbata,,,,
securidaca inappendiculata,,securidaca,securidaca inappendiculata hassk.,inappendiculata,,,,
securidaca inappendiculata,,securidaca,securidaca inappendiculata hassk.,inappendiculata,,,,
selaginella concinna,,selaginella,selaginella concinna,concinna,,,,
selaginella,,selaginella,selaginella concinna (sw.) spring,,,,,
selaginella repanda,,selaginella,selaginella semicordata,repanda,,,,
selaginella repanda,,selaginella,selaginella semicordata (wall.)spring,repanda,,,,
semecarpus,,semecarpus,semecarpus  l.f.,,24,5,1994,144
semecarpus,,semecarpus,semecarpus  l.f.,,3,4,1997,116
semecarpus,,semecarpus,semecarpus  l.f.,,26,4,1997,93
semecarpus albescens,,semecarpus,semecarpus albescens kurz,albescens,4,6,2000,156
semecarpus anacardium,,semecarpus,semecarpus anacardium,anacardium,18,7,1992,200
semecarpus anacardium,,semecarpus,semecarpus anacardium l.f.,anacardium,,,,
senecio angulosus,,senecio,senecio angulosus wallich ex de candolle,angulosus,,,,
senecio linifolius,,senecio,senecio linifolius l.,linifolius,,,,
senecio obtusatus,,senecio,senecio obtusatus wall. ex dc.,obtusatus,,,,
senecio obtusatus,,senecio,senecio obtusatus wall. ex dc.,obtusatus,,,,
senecio krascheninnikovii krascheninnikovii,,senecio,senecio pedunculatus sch.bip.,krascheninnikovii,29,3,1869,88
senecio krascheninnikovii krascheninnikovii,,senecio,senecio pedunculatus sch.bip.,krascheninnikovii,,,,
senecio,,senecio,senecio ramosus wall.,ramosus,,,,
senecio,,senecio,senecio ramosus wall.,ramosus,,,,
,,senegalia,senegalia pennata,pennata,2,2,1989,10
,,senegalia,senegalia pennata,pennata,6,8,1992,153
,,senna,senna alata,alata,26,11,1944,194
senna obtusifolia,,senna,senna obtusifolia,obtusifolia,12,7,1992,
senna obtusifolia,,senna,senna obtusifolia,obtusifolia,,,,194
senna occidentalis,,senna,senna occidentalis,occidentalis,10,7,1992,192
senna occidentalis,,senna,senna occidentalis,occidentalis,,,,
senna occidentalis,,senna,senna occidentalis (l.) link,occidentalis,17,5,1999,137
senna sophera,,senna,senna sophera,sophera,10,7,1992,192
senna sophera,,senna,senna sophera,sophera,8,8,1899,109
senna sophera,,senna,senna sophera (l.) roxb.,sophera,19,4,1994,220
sesamum indicum indicum,,sesamum,sesamum orientale l.,indicum,4,5,1868,125
sesbania bispinosa,,sesbania,sesbania aculeata pers.,bispinosa,,,,
sesbania sesban,,sesbania,sesbania aegyptiaca buch.-ham. ex wall.,sesban,,,,
sesbania sesban,,sesbania,sesbania aegyptiaca buch.-ham. ex wall.,sesban,,,,
sesbania sesban,,sesbania,sesbania aegyptiaca buch.-ham. ex wall.,sesban,,,,347
sesbania sesban,,sesbania,sesbania sesban,sesban,12,12,1944,
,,setaria,setaria flavida,flavida,20,8,1992,
,,setaria,setaria flavida,flavida,19,5,1872,200
,,setaria,setaria punctata (burm.f.) veldkamp,punctata,,,,155
shirakiopsis indica,,shirakiopsis,shirakiopsis indica (willd.) esser,indica,1,6,2000,
shirakiopsis indica,,shirakiopsis,shirakiopsis indica (willd.) esser,indica,,,,153
shirakiopsis indica,,shirakiopsis,shirakiopsis indica (willd.) esser,indica,,,,
shorea robusta,,shorea,shorea robusta,robusta,1,4,1989,91
shorea robusta,,shorea,shorea robusta gaertn.,robusta,2,4,1997,92
sida acuta,,sida,sida acuta,acuta,10,12,1988,345
sida acuta,,sida,sida acuta,acuta,10,7,1992,192
sida acuta,,sida,sida acuta,acuta,10,7,1992,214
sida acuta,,sida,sida acuta,acuta,1,8,1992,135
sida acuta,,sida,sida acuta burm.f.,acuta,15,5,1999,192
sida,,sida,sida cordifolia,cordifolia,25,7,1992,207
sida,,sida,sida cordifolia,cordifolia,15,8,1992,228
sida glutinosa,,sida,sida nervosa dc.,glutinosa,,,,
sida rhombifolia,,sida,sida rhombifolia,rhombifolia,18,7,1992,200
silene baccifera,,silene,silene baccifera,baccifera,17,8,1952,230
silvianthus bracteatus,,silvianthus,silvianthus bracteatus hooker f.,bracteatus,,,,
siphonodon celastrineus,,siphonodon,siphonodon celastrineus griff.,celastrineus,,,,
smilax tamnoides,,smilax,smilax  l.,tamnoides,15,3,1979,74
smilax glabra,,smilax,smilax glabra roxb.,glabra,,,,
smilax lanceaefolia,,smilax,smilax lanceifolia roxb.,lanceaefolia,4,6,2000,156
smilax roxburghiana,,smilax,smilax oxyphylla wall.,roxburghiana,,,,
smilax roxburghiana,,smilax,smilax oxyphylla wall. ex kunth,roxburghiana,,,,
smilax roxburghiana,,smilax,smilax oxyphylla wall. ex kunth,roxburghiana,,,,
smilax roxburghiana,,smilax,smilax oxyphylla wall. ex kunth,roxburghiana,,,,
smilax roxburghiana,,smilax,smilax oxyphylla wallich,roxburghiana,,,,
smilax perfoliata,,smilax,smilax prolifera,perfoliata,6,8,1992,
smilax perfoliata,,smilax,smilax prolifera,perfoliata,14,8,1992,155
smilax perfoliata,,smilax,smilax prolifera roxb.,perfoliata,3,6,2000,219
smilax perfoliata,,smilax,smilax prolifera roxb.,perfoliata,,,,227
smithia sensitiva,,smithia,smithia sensitiva,sensitiva,,,,
smithia sensitiva,,smithia,smithia sensitiva aiton,sensitiva,,,,
solanum americanum,,solanum,solanum americanum,americanum,10,7,1992,192
solanum americanum,,solanum,solanum americanum mill.,americanum,17,5,1999,137
solanum erianthum,,solanum,solanum erianthum,erianthum,9,1,1872,9
solanum lasiocarpum,,solanum,solanum lasiocarpum,lasiocarpum,7,9,1872,251
solanum lasiocarpum,,solanum,solanum lasiocarpum dunal,lasiocarpum,25,3,1868,85
solanum lasiocarpum,,solanum,solanum lasiocarpum dunal,lasiocarpum,,,,
lycianthes macrodon,,lycianthes,solanum macrodon wall.,macrodon,,,,
,,solanum,solanum nigrum,nigrum,12,7,1992,221
,,solanum,solanum nigrum l.,nigrum,17,5,1999,119
solanum sisymbriifolium,,solanum,solanum sisymbriifolium,sisymbriifolium,10,7,1992,294
solanum sisymbriifolium,,solanum,solanum sisymbriifolium lam.,sisymbriifolium,21,10,1985,192
solanum sisymbriifolium,,solanum,solanum sisymbriifolium lam.,sisymbriifolium,27,6,1997,178
solanum sisymbriifolium,,solanum,solanum sisymbriifolium lam.,sisymbriifolium,17,5,1999,137
solanum spirale,,solanum,solanum spirale,spirale,19,7,1867,193
solanum spirale,,solanum,solanum spirale,spirale,11,7,1872,200
solanum torvum,,solanum,solanum torvum,torvum,18,7,1992,82
solanum torvum,,solanum,solanum torvum,torvum,6,8,1992,
solanum torvum,,solanum,solanum torvum,torvum,13,4,1997,219
solanum torvum,,solanum,solanum torvum,torvum,27,5,1999,200
solanum torvum,,solanum,solanum torvum,torvum,22,3,1868,
solanum torvum,,solanum,solanum torvum,torvum,,,,103
solanum torvum,,solanum,solanum torvum,torvum,,,,147
solanum viarum,,solanum,solanum viarum,viarum,6,8,1992,219
solanum violaceum,,solanum,solanum violaceum,violaceum,10,7,1992,219
solanum violaceum,,solanum,solanum violaceum,violaceum,6,8,1992,192
solanum violaceum,,solanum,solanum violaceum ortega,violaceum,25,3,1868,
solanum violaceum,,solanum,solanum violaceum ortega,violaceum,,,,
solanum violaceum,,solanum,solanum violaceum ortega,violaceum,,,,85
solanum virginianum,,solanum,solanum virginianum l.,virginianum,17,5,1999,137
solena amplexicauis,,solena,solena amplexicaulis,amplexicauis,11,9,1944,255
solena amplexicaulis,,solena,solena heterophylla lour. subsp. heterophylla,amplexicaulis,8,5,1994,128
solena amplexicaulis,,solena,solena heterophylla subsp. heterophylla,amplexicaulis,,,,
solidago,,solidago,solidago,,,,,
sonerila maculata,,sonerila,sonerila maculata roxb.,maculata,,,,
sonerila maculata,,sonerila,sonerila maculata roxb.,maculata,,,,
sonerila squarrosa,,sonerila,sonerila squarrosa wall.,squarrosa,,,,
sonerila squarrosa,,sonerila,sonerila squarrosa wall.,squarrosa,,,,
sonneratia apetala,,sonneratia,sonneratia apetala,apetala,,,,153
sonneratia apetala,,sonneratia,sonneratia apetala,apetala,,,,153
sonneratia apetala,,sonneratia,sonneratia apetala buch.-ham.,apetala,1,6,2000,
sonneratia apetala,,sonneratia,sonneratia apetala buchanan-hamilton,apetala,1,6,2000,
sonneratia caseolaris,,sonneratia,sonneratia caseolaris (l.) engl.,caseolaris,8,5,1980,129
sonneratia caseolaris,,sonneratia,sonneratia caseolaris (l.) engl.,caseolaris,5,6,1999,156
sonneratia caseolaris,,sonneratia,sonneratia caseolaris (l.) engl.,caseolaris,2,6,2000,154
sonneratia griffithii,,sonneratia,sonneratia griffithii kurz,griffithii,21,11,1979,325
sorghum bicolor,,sorghum,sorghum bicolor,bicolor,13,11,1934,
sorghum halepense,,sorghum,sorghum halepense (l.) pers.,halepense,,,,
sorghum bicolor,,sorghum,sorghum vulgare pers.,bicolor,,,,317
sparganium fallax,,sparganium,sparganium fallax graebn.,fallax,,,,
spatholobus crassifolius,,spatholobus,spatholobus crassifolius (wall.) benth.,crassifolius,,,,
spatholobus crassifolius,,spatholobus,spatholobus crassifolius (wall.) benth.,crassifolius,,,,
spatholobus acuminatus,,spatholobus,spatholobus listeri prain,acuminatus,23,3,1876,92
spatholobus acuminatus,,spatholobus,spatholobus listeri prain,acuminatus,30,3,1876,83
spatholobus acuminatus,,spatholobus,spatholobus listeri prain,acuminatus,1,4,1876,90
spatholobus parviflorus,,spatholobus,spatholobus parviflorus,parviflorus,9,8,1886,43
spatholobus parviflorus,,spatholobus,spatholobus parviflorus,parviflorus,9,8,1886,221
spatholobus parviflorus,,spatholobus,spatholobus parviflorus (dc.) kuntze,parviflorus,12,2,1873,221
spatholobus parviflorus,,spatholobus,spatholobus parviflorus (roxb.) kuntze,parviflorus,,,,
spatholobus parviflorus,,spatholobus,spatholobus parviflorus (roxb.) kuntze,parviflorus,,,,
spatholobus parviflorus,,spatholobus,spatholobus parviflorus (roxb.) kuntze,parviflorus,,,,
spermacoce articularis,,spermacoce,spermacoce articularis,articularis,21,4,1943,111
spermacoce brunonis,,spermacoce,spermacoce brunonis wall.,brunonis,,,,
spermacoce hispida,,spermacoce,spermacoce hispida,hispida,25,7,1992,219
spermacoce hispida,,spermacoce,spermacoce hispida,hispida,6,8,1992,229
spermacoce hispida,,spermacoce,spermacoce hispida,hispida,16,8,1992,207
sphagneticola calendulacea,,sphagneticola,sphagneticola calendulacea,calendulacea,8,5,1945,128
sphagneticola trilobata,,sphagneticola,sphagneticola trilobata,trilobata,14,8,1992,227
sphenodesme pentandra,,sphenodesme,sphenodesme pentandra jack var. wallichiana (schauer) munir,pentandra,,,,
,,sphenomeris,sphenomeris chinensis,chinensis,6,8,1992,135
spiradiclis caespitosa,,spiradiclis,spiradiclis caespitosa blume,caespitosa,,,,
spiranthes sinensis,,spiranthes,spiranthes sinensis (pers.) ames,sinensis,16,1,1869,16
splachnobryum,,splachnobryum,splachnobryum,,7,10,1998,280
splachnobryum,,splachnobryum,splachnobryum,,11,10,1998,284
spondias pinnata,,spondias,spondias pinnata,pinnata,6,9,1944,90
spondias pinnata,,spondias,spondias pinnata,pinnata,31,3,1945,
spondias pinnata,,spondias,spondias pinnata,pinnata,27,9,1977,270
spondias pinnata,,spondias,spondias pinnata,pinnata,12,6,1999,250
spondias pinnata,,spondias,spondias pinnata,pinnata,,,,163
sporobolus diandrus,,sporobolus,sporobolus diandrus,diandrus,25,9,1872,269
stachys oblongifolia,,stachys,stachys oblongifolia wall. ex benth.,oblongifolia,,,,
stachytarpheta indica,,stachytarpheta,stachytarpheta indica,indica,14,8,1992,227
stachytarpheta urticifolia,,stachytarpheta,stachytarpheta urticifolia (salisb.) sims,urticifolia,17,5,1999,137
stauntonia brunoniana,,stauntonia,stauntonia brunoniana wall. ex hemsl.,brunoniana,,,,
stauntonia brunoniana,,stauntonia,stauntonia brunoniana wall. ex hemsl.,brunoniana,,,,
stauntonia elliptica,,stauntonia,stauntonia elliptica hemsl.,elliptica,,,,
stauntonia filamentosa,,stauntonia,stauntonia filamentosa griff.,filamentosa,,,,
staurogyne hirsuta,,staurogyne,staurogyne glutinosa,hirsuta,16,2,1879,47
staurogyne polybotrya,,staurogyne,staurogyne polybotrya,polybotrya,29,11,1872,334
,,staurogyne,staurogyne thyrsodes,thyrsodes,8,2,1873,1
stemodia,,stemodia,stemodia capitata benth.,capitata,,,,
stemona tuberosa,,stemona,stemona tuberosa,tuberosa,8,6,1932,160
stenochlaena palustris,,stenochlaena,stenochlaena palustris,palustris,10,7,1944,
stenochlaena palustris,,stenochlaena,stenochlaena palustris (burm. f.) bedd.,palustris,,,,192
stephania,,stephania,stephania  lour.,,25,5,1999,145
stephania japonica discolor,,stephania,stephania hernandiifolia,japonica,17,7,1992,219
stephania japonica discolor,,stephania,stephania hernandiifolia,japonica,6,8,1992,199
stephania japonica discolor,,stephania,stephania hernandiifolia,japonica,15,8,1992,228
stephania japonica,,stephania,stephania japonica,japonica,18,7,1992,200
sterculia balanghas,,sterculia,sterculia angustifolia jack var. coccinea,balanghas,2,6,2000,154
sterculia foetida,,sterculia,sterculia foetida,foetida,17,7,1992,199
sterculia lanceifolia,,sterculia,sterculia roxburghii,lanceifolia,6,8,1992,219
sterculia urens,,sterculia,sterculia urens roxb.,urens,15,6,2000,167
sterculia villosa,,sterculia,sterculia villosa,villosa,3,2,1945,34
sterculia villosa,,sterculia,sterculia villosa,villosa,,,,
sterculia villosa,,sterculia,sterculia villosa roxb.,villosa,8,5,1994,
sterculia villosa,,sterculia,sterculia villosa roxb.,villosa,,,,128
stereophyllum tavoyense,,stereophyllum,stereophyllum tavoyense (hook. ex harv.) a.jaeger,tavoyense,,,,
stereophyllum tavoyense,,stereophyllum,stereophyllum tavoyense (hook. ex harv.) a.jaeger,tavoyense,,,,
stereophyllum tavoyense,,stereophyllum,stereophyllum tavoyense (hook. ex harv.) a.jaeger,tavoyense,,,,
stereophyllum tavoyense,,stereophyllum,stereophyllum tavoyense (hook. ex harv.) a.jaeger,tavoyense,,,,
stereophyllum tavoyense,,stereophyllum,stereophyllum tavoyense (hook. ex harv.) a.jaeger,tavoyense,,,,
stereospermum,,stereospermum,stereospermum  cham.,,9,5,1994,129
stereospermum chelonoides,,stereospermum,stereospermum chelonoides,chelonoides,17,7,1992,199
stereospermum colais,,stereospermum,stereospermum personatum,colais,24,5,1967,
stereospermum colais,,stereospermum,stereospermum personatum,colais,,,,144
stereospermum colais,,stereospermum,stereospermum personatum (hassk.) chatterjee,colais,,,,
steudnera colocasiifolia,,steudnera,steudnera colocasiifolia k. koch,colocasiifolia,8,8,1987,220
,,steudnera,steudnera virosa,virosa,29,8,1943,91
,,steudnera,steudnera virosa,virosa,21,3,1945,301
,,steudnera,steudnera virosa,virosa,25,4,1994,
,,steudnera,steudnera virosa,virosa,25,4,1994,219
,,steudnera,steudnera virosa,virosa,1,6,2000,129
stictocardia tiliifolia,,stictocardia,stictocardia tiliifolia,tiliifolia,15,1,1945,15
stilbanthus scandens,,stilbanthus,stilbanthus scandens hook.f.,scandens,,,,
stixis suaveolens,,stixis,stixis suaveolens,suaveolens,22,4,1886,112
stixis suaveolens,,stixis,stixis suaveolens,suaveolens,22,4,1886,112
stixis suaveolens,,stixis,stixis suaveolens (roxb.) pierre,suaveolens,8,5,1997,128
barringtonia acutangula acutangula,,barringtonia,stravadium rubrum pers.,acutangula,,,,
streblus asper,,streblus,streblus asper,asper,27,5,1870,
streblus asper,,streblus,streblus asper,asper,14,4,1872,112
streblus asper,,streblus,streblus asper,asper,8,4,1873,105
streblus asper,,streblus,streblus asper,asper,22,4,1886,98
streblus asper,,streblus,streblus asper,asper,11,3,1932,71
streblus asper,,streblus,streblus asper,asper,14,3,1979,73
streblus asper,,streblus,streblus asper,asper,1,4,1997,91
streblus asper,,streblus,streblus asper,asper,,,,147
streblus ilicifolius,,streblus,streblus ilicifolius (s.vidal) corner,ilicifolius,,,,
streblus ilicifolius,,streblus,streblus ilicifolius (vidal) corner,ilicifolius,,,,
strobilanthes,,strobilanthes,strobilanthes  blume,,26,4,1997,116
strobilanthes glabratus,,strobilanthes,strobilanthes glabratus nees,glabratus,,,,
strobilanthes panichanga,,strobilanthes,strobilanthes panichanga,panichanga,,,,
strobilanthes panichanga,,strobilanthes,strobilanthes panichanga,panichanga,,,,
strobilanthes panichanga,,strobilanthes,strobilanthes panichanga,panichanga,,,,
strobilanthes panichanga,,strobilanthes,strobilanthes panichanga,panichanga,,,,
strobilanthes panichanga,,strobilanthes,strobilanthes panichanga,panichanga,,,,
strobilanthes rufescens,,strobilanthes,strobilanthes rufescens (roth) t.anderson,rufescens,5,2,1873,36
strobilanthes rufescens,,strobilanthes,strobilanthes rufescens (roth) t.anderson,rufescens,5,2,1873,36
strobilanthes sabiniana,,strobilanthes,strobilanthes sabiniana nees,sabiniana,,,,
strobilanthes scaber,,strobilanthes,strobilanthes scaber nees,scaber,,,,
strobilanthes scaber,,strobilanthes,strobilanthes scaber nees,scaber,,,,
strophanthus caudatus,,strophanthus,strophanthus dichotomus dc.,caudatus,,,,
strophanthus caudatus,,strophanthus,strophanthus dichotomus dc.,caudatus,,,,
strophanthus wallichii,,strophanthus,strophanthus wallichii a.dc.,wallichii,,,,
strophanthus wallichii,,strophanthus,strophanthus wallichii a.dc.,wallichii,,,,
strychnos lucida,,strychnos,strychnos lucida wall.,lucida,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,142
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,22,5,1831,
stylidium uliginosum,,stylidium,stylidium kunthii,uliginosum,,,,
stylidium tenellum,,stylidium,stylidium tenellum r.br.,tenellum,,,,
styrax,,styrax,styrax,,26,5,1999,146
styrax officinale,,styrax,styrax l.,officinale,26,5,1999,146
styrax serrulatus,,styrax,styrax serrulata roxb.,serrulatus,,,,
styrax serrulata,,styrax,styrax serrulatum,serrulata,10,8,1886,222
styrax serrulata,,styrax,styrax serrulatum,serrulata,10,8,1887,222
styrax serrulatus,,styrax,styrax serrulatum,serrulatus,16,8,1976,229
styrax serrulatus,,styrax,styrax serrulatum,serrulatus,,,,
styrax serrulatus,,styrax,styrax serrulatum,serrulatus,,,,
styrax serrulatus,,styrax,styrax serrulatum,serrulatus,,,,
suregada,,suregada,suregada,,26,5,1999,146
suregada multiflora,,suregada,suregada multiflora,multiflora,24,5,1967,108
suregada multiflora,,suregada,suregada multiflora,multiflora,23,4,1994,144
suregada multiflora,,suregada,suregada multiflora,multiflora,,,,
suregada multiflora,,suregada,suregada multiflora,multiflora,18,4,1966,
suregada multiflora,,suregada,suregada multiflora,multiflora,18,4,1966,64
suregada multiflora,,suregada,suregada multiflora,multiflora,5,3,1978,108
suregada multiflora,,suregada,suregada multiflora,multiflora,23,4,1994,113
suregada multiflora,,suregada,suregada multiflora,multiflora,,,,113
swintonia floribunda,,swintonia,swintonia floribunda,floribunda,6,8,1876,219
swintonia floribunda,,swintonia,swintonia floribunda griff.,floribunda,,,,
sycopsis griffithiana,,sycopsis,sycopsis griffithiana oliv.,griffithiana,,,,
sycopsis griffithiana,,sycopsis,sycopsis griffithiana oliv.,griffithiana,,,,
symplocos cochinchinensis,,symplocos,symplocos cochinchinensis (lour.) s.moore,cochinchinensis,,,,
symplocos cochinchinensis,,symplocos,symplocos cochinchinensis (lour.) s.moore,cochinchinensis,,,,
symplocos khasiana,,symplocos,symplocos khasiana brand,khasiana,,,,
symplocos lancifolia,,symplocos,symplocos lancifolia siebold & zucc.,lancifolia,,,,
symplocos lancifolia,,symplocos,symplocos lancifolia var. fulvipes c. b. clarke,lancifolia,,,,
symplocos lancifolia,,symplocos,symplocos lancifolia var. fulvipes c. b. clarke,lancifolia,,,,
symplocos macrophylla,,symplocos,symplocos macrophylla subsp. grandiflora (wall. ex dc.) noot.,macrophylla,,,,
symplocos sumuntia,,symplocos,symplocos sumuntia,sumuntia,10,8,1886,222
symplocos sumuntia,,symplocos,symplocos sumuntia buch.-ham. ex g.don,sumuntia,18,5,1999,
symplocos sumuntia,,symplocos,symplocos sumuntia buch.-ham. ex g.don,sumuntia,,,,138
synedrella nodiflora,,synedrella,synedrella nodiflora (l.) gaertn.,nodiflora,17,5,1999,137
syrrhopodon trachyphyllus,,syrrhopodon,syrrhopodon armatus mitt.,trachyphyllus,27,2,1965,58
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,21,4,1994,92
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,26,4,1994,135
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,9,5,1994,154
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,2,4,1997,129
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,15,5,1999,111
syzygium,,syzygium,syzygium  r.br. ex gaertn.,,2,6,2000,116
syzygium balsameum,,syzygium,syzygium balsameum,balsameum,,,,
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,30,8,1968,222
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,30,8,1968,
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,,,,243
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,9,8,1824,
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,,,,
syzygium claviflorum,,syzygium,syzygium claviflorum,claviflorum,,,,243
syzygium fruticosum,,syzygium,syzygium fruticosum,fruticosum,30,8,1968,
syzygium fruticosum,,syzygium,syzygium fruticosum (roxb.) dc.,fruticosum,,,,
syzygium fruticosum,,syzygium,syzygium fruticosum dc.,fruticosum,,,,243
syzygium fruticosum,,syzygium,syzygium fruticosum dc.,fruticosum,,,,
syzygium khasianum,,syzygium,syzygium khasianum (duthie) n.p.balakr.,khasianum,,,,
syzygium malaccense,,syzygium,syzygium malaccense (l.) merr. & l.m.perry,malaccense,,,,
syzygium mishmiense,,syzygium,syzygium mishmiense chatterjee,mishmiense,20,10,1830,293
syzygium nervosum,,syzygium,syzygium nervosum,nervosum,,,,87
syzygium oblatum,,syzygium,syzygium oblatum,oblatum,,,,
syzygium oblatum,,syzygium,syzygium oblatum,oblatum,,,,
syzygium obovatum,,syzygium,syzygium obovatum wall.,obovatum,8,5,1997,
syzygium obovatum,,syzygium,syzygium obovatum wall.,obovatum,,,,128
syzygium obovatum,,syzygium,syzygium obovatum wall.,obovatum,,,,
syzygium praecox,,syzygium,syzygium praecox (roxb.) rathakr. & n.c.nair,praecox,,,,
syzygium praecox,,syzygium,syzygium wallichii walp.,praecox,,,,
tabernaemontana divaricata,,tabernaemontana,tabernaemontana coronaria willd.,divaricata,,,,130
tabernaemontana corymbosa,,tabernaemontana,tabernaemontana corymbosa,corymbosa,15,8,1992,228
tabernaemontana corymbosa,,tabernaemontana,tabernaemontana corymbosa,corymbosa,16,8,1992,229
tabernaemontana alternifolia,,tabernaemontana,tabernaemontana crispa roxb.,alternifolia,12,6,1979,163
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,10,5,1945,
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,10,7,1992,128
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,18,7,1992,200
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,6,8,1992,192
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,16,3,1979,296
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,20,4,1994,128
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,8,5,1997,75
tabernaemontana divaricata,,tabernaemontana,tabernaemontana divaricata,divaricata,23,10,1982,110
tabernaemontana,,tabernaemontana,tabernaemontana sp.,sp.,12,7,1992,194
tacca leontopetaloides,,tacca,tacca  j.r.forst. & g.forst.,leontopetaloides,12,2,1976,43
