dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
https://data.biodiversitydata.nl/naturalis/specimen/wag.1884116,"thomas, dw",memecylon,memecylon korupense,7,4,1988,98
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093593,"burgt, xm van der  564",memecylon,memecylon korupense,10,12,1999,344
http://specimens.kew.org/herbarium/k000460386,946,memecylon,memecylon lateriflorum,26,5,2007,146
http://specimens.kew.org/herbarium/k000460086,946,memecylon,memecylon lateriflorum,26,5,2007,146
urn:catalog:cas:bot-bc:514897,946,memecylon,memecylon lateriflorum,26,5,2007,146
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093770,"burgt, xm van der",memecylon,memecylon lateriflorum,26,5,2007,146
https://data.biodiversitydata.nl/naturalis/specimen/wag0028567,"burgt, xm van der",memecylon,memecylon lateriflorum,26,5,2007,146
http://specimens.kew.org/herbarium/k000023169,1124,memecylon,memecylon lateriflorum,20,2,2008,51
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093771,"burgt, xm van der",memecylon,memecylon lateriflorum,20,2,2008,51
http://specimens.kew.org/herbarium/k000460349,916,memecylon,memecylon lateriflorum,10,3,2007,69
http://specimens.kew.org/herbarium/k000460350,916,memecylon,memecylon lateriflorum,10,3,2007,69
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093769,"burgt, xm van der",memecylon,memecylon lateriflorum,10,3,2007,69
urn:catalog:cas:bot-bc:514748,916,memecylon,memecylon lateriflorum,10,3,2007,69
http://specimens.kew.org/herbarium/k000460177,7992,memecylon,memecylon viride,13,4,1996,104
http://specimens.kew.org/herbarium/k000460193,1907,memecylon,memecylon viride,13,4,1996,104
urn:catalog:cas:bot-bc:515579,7992,memecylon,memecylon viride,13,4,1996,104
urn:catalog:cas:bot-bc:515580,1907,memecylon,memecylon viride,13,4,1996,104
http://specimens.kew.org/herbarium/k000460178,8213,memecylon,memecylon viride,26,4,1996,117
urn:catalog:cas:bot-bc:515581,8213,memecylon,memecylon viride,26,4,1996,117
http://specimens.kew.org/herbarium/k000460184,8247,memecylon,memecylon viride,27,4,1996,118
https://data.biodiversitydata.nl/naturalis/specimen/wag.1094076,"cheek, mr",memecylon,memecylon viride,27,4,1996,118
urn:catalog:cas:bot-bc:515578,8247,memecylon,memecylon viride,27,4,1996,118
urn:catalog:cas:bot-bc:515577,658,memecylon,memecylon viride,17,4,1997,107
urn:catalog:mo:tropicos:322120,thomas 4321,memecylon,memecylon viride,24,1,1985,24
urn:catalog:mo:tropicos:322301,thomas 6740,memecylon,memecylon viride,20,2,1987,51
urn:catalog:mo:tropicos:322229,thomas 4402,memecylon,memecylon viride,24,2,1985,55
urn:catalog:mo:tropicos:322521,thomas 3202,memecylon,memecylon viride,28,2,1984,59
urn:catalog:mo:tropicos:322192,thomas 5755,memecylon,memecylon viride,3,10,1986,276
urn:catalog:mo:tropicos:332527,manning 1758,memecylon,memecylon viride,4,12,1987,338
http://specimens.kew.org/herbarium/k000050333,5755,memecylon,memecylon viride,10,3,1986,69
https://data.biodiversitydata.nl/naturalis/specimen/wag.1094113,"thomas, dw",memecylon,memecylon viride,10,3,1986,69
https://data.biodiversitydata.nl/naturalis/specimen/wag.1094166,"thomas, dw  3175",memecylon,memecylon zenkeri,28,2,1984,59
http://specimens.kew.org/herbarium/k000460181,2286,memecylon,memecylon zenkeri,28,4,1996,119
urn:catalog:cas:bot-bc:515513,12435,memecylon,memecylon zenkeri,21,4,2005,111
urn:catalog:mo:tropicos:323357,thomas 3175,memecylon,memecylon zenkeri,28,2,1984,59
urn:catalog:mo:tropicos:322125,doumenge 385,memecylon,memecylon zenkeri,16,3,1987,75
http://specimens.kew.org/herbarium/k000050336,3175,memecylon,memecylon zenkeri,3,4,1984,94
http://specimens.kew.org/herbarium/k000460182,1828,memecylon,memecylon zenkeri,11,4,1996,102
urn:catalog:cas:bot-bc:515510,1828,memecylon,memecylon zenkeri,11,4,1996,102
urn:catalog:mo:tropicos:502247,thomas 7603,mendoncia,mendoncia vell. ex vand.,4,3,1988,64
urn:catalog:mo:tropicos:748644,thomas 5641,undesignated,menispermaceae juss.,16,2,1986,47
urn:catalog:mo:tropicos:748507,harris 2474,undesignated,menispermaceae juss.,29,8,1990,241
urn:catalog:mo:tropicos:748663,thomas 4736,undesignated,menispermaceae juss.,4,12,1985,338
urn:catalog:mo:tropicos:748671,thomas 7514,undesignated,menispermaceae juss.,4,1,1988,4
urn:catalog:mo:tropicos:748447,thomas 7597,undesignated,menispermaceae juss.,4,3,1988,64
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00527608,,microberlinia,microberlinia bisulcata,14,1,2000,14
