(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP210T2E5P1S4,inga,inga oerstediana,inga oerstediana,21,9,1986,264
LCP135T2E5P2S5,maxillaria,,maxillaria nardoides kraenzl.,24,7,1984,206
LCP09T2E5P3S1,justicia,justicia poeppigiana,justicia poeppigiana,25,7,1986,206
LCP067T2E5P2S2,pithecoctenium,pithecoctenium cruigerum,pithecoctenium crucigerum,17,10,1991,290
LCP168T2E5P2S5,justicia,justicia ruiziana,justicia ruiziana,13,9,1982,256
LCP039T2E5P2S1,sciadotenia,sciadotenia toxifera,sciadotenia toxifera,17,10,1991,290
LCP161T2E5P2S5,miconia,miconia lamprophylla,miconia lamprophylla  triana,13,9,1986,256
LCP095T2E5P2S3,tournefortia,tournefortia cuspidata,tournefortia cuspidata kunth,5,11,1986,309
LCP163T2E5P2S5,macrocnemum,macrocnemum roseum,macrocnemum roseum,,,,
LCP03T2E5P3S1,cinchona,cinchona micrantha,cinchona micrantha,6,11,1986,310
LCP06T2E5P3S1,agouticarpa,agouticarpa curviflora,agouticarpa curviflora,8,9,1986,251
LCP171T2E5P2S5,schnella,,schnella glabra,15,6,1977,166
LCP175T2E5P2S5,syngonium,syngonium podophyllum,syngonium podophyllum schott,10,8,1983,222
LCP020T2E5P2S1,cissus,,cissus ulmifolia (baker) planch.,12,8,1973,224
LCP073T2E5P2S3,cissus,cissus erosa,cissus erosa,2,10,1991,275
LCP062T2E5P2S2,aechmea,aechmea longicuspis,aechmea longicuspis baker,26,10,1991,299
LCP027T2E5P3S1,maxillaria,,maxillaria nardoides,24,7,1984,206
LCP209T2E5P1S3,margaritopsis,margaritopsis podocephala,margaritopsis podocephala,5,11,1986,309
LCP077T2E5P2S3,eugenia,eugenia myrobalana,eugenia myrobalana,23,9,1980,267
LCP129T2E5P2S5,miconia,miconia lamprophylla,miconia lamprophylla  triana,6,11,1986,310
LCP063T2E5P2S2,lecointea,lecointea amazonica,lecointea amazonica,,,,
LCP165T2E5P2S5,fevillea,fevillea cordifolia,fevillea cordifolia,9,2,1977,40
LCP134T2E5P2S5,combretum,combretum,combretum sp.,17,10,1991,290
LCP058T2E5P2S2,miconia,miconia spennerostachya,miconia spennerostachya,7,9,1986,250
LCP050T2E5P2S1,bauhinia,bauhinia hirsutissima,bauhinia hirsutissima,21,10,1979,294
LCP094T2E5P2S3,pseuderanthemum,pseuderanthemum richelianum,pseuderanthemum sp.,5,8,1989,217
LCP204T2E5P1S3,inga,inga,inga marginata,19,3,1977,78
LCP08T2E5P3S1,rourea,rourea cuspidata,rourea cuspidata var. densiflora,28,9,1976,272
LCP07T2E5P3S1,neea,neea,neea sp.,24,7,1977,205
LCP075T2E5P2S3,piper,piper secundum,piper glabratum,7,11,1986,311
LCP072T2E5P2S3,ficus,,ficus pertusa,12,9,1986,255
LCP059T2E5P2S2,passovia,passovia stelis,phthirusa retroflexa,13,10,1991,286
LCP068T2E5P2S2,nectandra,nectandra longifolia,nectandra longifolia,17,8,1983,229
LCP014T2E5P3S1,ficus,,ficus paraensis,17,8,1974,229
LCP167T2E5P2S5,tillandsia,tillandsia,tillandsia lanuginosa gillies ex baker,,,,
LCP011T2E5P3S1,polygala,polygala,polygala gigantea,23,10,1979,296
LCP057T2E5P2S2,aegiphila,aegiphila cuneata,aegiphila cuneata moldenke,30,9,1980,274
LCP045T2E5P2S1,piper,piper heterophyllum,piper heterophyllum ruiz & pav.,23,8,1976,236
LCP019T2E5P2S1,piper,piper reticulatum,piper reticulatum l.,14,11,1980,319
LCP02T2E5P3S1,heteropterys,heteropterys,heteropterys  kunth,19,10,1979,292
LCP208T2E5P1S3,anomospermum,anomospermum reticulatum reticulatum,anomospermum reticulatum,2,9,1989,245
LCP081T2E5P2S3,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,6,7,1984,188
LCP076T2E5P2S3,haydenoxylon,haydenoxylon urbanianum,haydenoxylon urbanianum,25,5,1977,145
LCP184T2E5P1S3,acacia,,acacia paniculata willd.,12,8,1973,224
LCP044T2E5P2S1,inga,inga ruiziana,inga ruiziana,3,10,1991,276
LCP173T2E5P2S5,fevillea,fevillea cordifolia,fevillea cordifolia,20,10,1979,293
LCP071T2E5P2S3,alibertia,alibertia curviflora,alibertia curviflora,6,8,1984,219
LCP024T2E5P2S1,combretum,combretum fruticosum,combretum laxum,1,6,1977,152
LCP231T2E5P1S4,piper,piper pseudoarboreum,piper pseudoarboreum yunck.,6,9,1985,249
LCP056T2E5P2S2,inga,inga,inga nobilis subsp. nobilis,3,11,1986,307
LCP042T2E5P2S1,inga,inga tenuistipula,inga tenuistipula,8,9,1986,251
LCP074T2E5P2S3,microgramma,microgramma persicariifolia,microgramma persicariifolia,11,9,1986,254
LCP052T2E5P2S1,plukenetia,plukenetia brachybotrya,plukenetia brachybotrya,10,10,1991,283
LCP190T2E5P1S3,luehea,luehea cymulosa,luehea cymulosa,16,10,1979,289
LCP093T2E5P2S3,caesalpinia,caesalpinia bonduc,guilandina bonduc,1,10,1991,274
LCP265T2E5P1S5,floscopa,floscopa elegans,floscopa elegans,23,8,1976,236
LCP176T2E5P2S5,talisia,,talisia sp.,30,8,1990,242
LCP177T2E5P1S3,acidoton,acidoton nicaraguensis,acidoton nicaraguensis  (hemsl.) g.l. webster,25,9,1991,268
LCP172T2E5P2S5,rhynchospora,rhynchospora kuntzei,rhynchospora kuntzei,17,8,1974,229
LCP079T2E5P2S3,alchornea,alchornea glandulosa,alchornea glandulosa  poepp.,10,8,1984,223
LCP096T2E5P2S3,theobroma,theobroma cacao,theobroma cacao,19,7,1998,200
LCP203T2E5P1S3,cydista,,cydista lilacina,17,10,1991,290
LCP070T2E5P2S2,alibertia,,alibertia sp.,12,7,1984,194
LCP010T2E5P3S1,casearia,,casearia javitensis,6,11,1986,310
LCP054T2E5P2S1,tococa,,tococa guianensis,3,10,1985,276
LCP036T2E5P2S1,paragonia,,paragonia pyramidata,17,10,1991,290
LCP124T2E5P1S2,miconia,miconia aulocalyx,miconia aulocalyx,12,2,1977,43
LCP230T2E5P1S4,serjania,serjania dibotrya,serjania dibotrya,10,10,1991,283
LCP023T2E5P2S1,ruellia,,ruellia klugii,12,9,1986,255
LCP212T2E5P1S4,solanum,solanum morellifolium,solanum morellifolium bohs,15,8,1986,227
LCP041T2E5P2S1,ocotea,ocotea,ocotea cernua,7,9,1986,250
LCP038T2E5P2S1,ficus,,ficus trigona,7,9,1986,250
LCP218T2E5P1S4,allophylus,allophylus glabratus,allophylus glabratus,27,4,1977,117
LCP221T2E5P1S4,,,maxillaria equitans,24,7,1984,206
LCP168T2E5P1S3,himatanthus,himatanthus tarapotensis,himatanthus tarapotensis (k. schum. ex markgr.) plumel,6,8,1984,219
LCP244T2E5P1S4,prestonia,prestonia annularis,prestonia purpurissata,13,9,1986,256
LCP158T2E5P1S2,psychotria,psychotria racemosa,psychotria racemosa,7,5,1977,127
LCP01T2E5P2S1,lecointea,lecointea amazonica,lecointea amazonica,22,8,1984,235
LCP224T2E5P1S4,rhynchospora,rhynchospora longa,rhynchospora longa,10,9,1986,253
LCP163T2E5P1S2,pseuderanthemum,pseuderanthemum lanceolatum,pseuderanthemum lanceolatum,1,8,1983,213
LCP248T2E5P1S4,tapirira,tapirira guianensis,tapirira guianensis,21,3,1981,80
LCP015T2E5P1S1,erythroxylum,erythroxylum ruryi,erythroxylum ruryi,12,9,1986,255
LCP05T2E5P2S1,justicia,justicia appendiculata,justicia appendiculata,1,8,1983,213
LCP143T2E5P1S2,gloxinia,gloxinia xanthophylla,gloxinia xanthophylla,19,8,1989,231
LCP104T2E5P2S3,ludwigia,ludwigia latifolia,ludwigia latifolia,16,8,1984,229
LCP258T2E5P1S5,tetracera,tetracera parviflora,tetracera parviflora,13,8,1978,225
LCP108T2E5P1S2,huertea,huertea glandulosa,huertea glandulosa,25,9,1980,269
LCP083T2E5P2S3,apuleia,,apuleia leiocarpa,5,11,1986,309
LCP174T2E5P1S3,clusia,,clusia sp.,5,11,1986,309
LCP238T2E5P1S4,celtis,celtis iguanaea,celtis iguanaea,13,4,1981,103
