dwc:catalogNumber,Family,dwc:genus,species,Day,Month,Year,Day of the year
98236,Fabaceae,peltogyne,peltogyne pauciflora,29,7,2005,210
18195,Fabaceae,peltogyne,peltogyne pauciflora,13,6,1985,164
2849,Fabaceae,peltogyne,peltogyne pauciflora,15,1,2009,15
235109,Fabaceae,peltogyne,peltogyne pauciflora,25,1,2017,25
111784,Fabaceae,peltogyne,peltogyne pauciflora,18,1,2005,18
159145,Fabaceae,peltogyne,peltogyne pauciflora,25,1,2004,25
245944,Fabaceae,peltogyne,peltogyne pauciflora,20,2,2018,51
91602,Fabaceae,peltogyne,peltogyne pauciflora,30,12,2004,365
53706,Fabaceae,peltogyne,peltogyne pauciflora,13,4,2001,103
25437,Fabaceae,peltogyne,peltogyne pauciflora,24,2,1997,55
150256,Fabaceae,peltogyne,peltogyne pauciflora,15,1,2009,15
203441,Fabaceae,peltogyne,peltogyne pauciflora,22,3,2012,82
69037,Fabaceae,peltogyne,peltogyne pauciflora,29,11,2003,333
69384,Fabaceae,peltogyne,peltogyne pauciflora,24,2,1997,55
69385,Fabaceae,peltogyne,peltogyne pauciflora,24,2,1997,55
192718,Fabaceae,peltogyne,peltogyne pauciflora,24,11,1964,329
122504,Fabaceae,peltogyne,peltogyne pauciflora,27,6,2007,178
164027,Fabaceae,peltogyne,peltogyne pauciflora,13,6,1985,164
167444,Fabaceae,peltogyne,peltogyne pauciflora,22,1,2011,22
235139,Fabaceae,peltogyne,peltogyne pauciflora,17,8,2017,229
111792,Fabaceae,peltogyne,peltogyne pauciflora,19,1,2005,19
81518,Fabaceae,peltogyne,peltogyne pauciflora,18,4,2004,109
15833,Fabaceae,peltogyne,peltogyne pauciflora,24,2,1997,55
143862,Fabaceae,peltogyne,peltogyne pauciflora,19,6,2008,171
15250,Fabaceae,peltogyne,peltogyne pauciflora,17,2,1984,48
111795,Fabaceae,peltogyne,peltogyne pauciflora,18,4,2005,108
7883,Fabaceae,peltogyne,peltogyne pauciflora,14,8,1998,226
73642,Fabaceae,peltogyne,peltogyne pauciflora,22,2,2002,53
72886,Fabaceae,peltogyne,peltogyne pauciflora,22,5,2003,142
201097,Fabaceae,peltogyne,peltogyne pauciflora,17,12,1995,351
202678,Fabaceae,peltogyne,peltogyne pauciflora,29,10,2009,302
62535,Fabaceae,peltogyne,peltogyne pauciflora,16,2,2003,47
234906,Fabaceae,peltogyne,peltogyne pauciflora,28,10,2015,301
69487,Fabaceae,peltogyne,peltogyne pauciflora,16,2,2003,47
101069,Fabaceae,peltogyne,peltogyne pauciflora,28,9,2005,271
301812,Fabaceae,peltogyne,peltogyne pauciflora,26,11,2004,331
22891,Fabaceae,peltogyne,peltogyne pauciflora,17,3,2019,76
122270,Fabaceae,peltogyne,peltogyne pauciflora,19,6,2007,170
22146,Fabaceae,peltogyne,peltogyne pauciflora,26,11,1995,330
245949,Fabaceae,peltogyne,peltogyne pauciflora,20,2,2018,51
78965,Fabaceae,peltogyne,peltogyne pauciflora,29,11,2003,333
4418,Fabaceae,peltogyne,peltogyne pauciflora,13,3,1985,72
73636,Fabaceae,peltogyne,peltogyne pauciflora,20,2,2002,51
9156,Fabaceae,peltogyne,peltogyne pauciflora,26,6,1983,177
83527,Fabaceae,peltogyne,peltogyne pauciflora,25,10,2000,299
274878,Fabaceae,peltogyne,peltogyne pauciflora,13,4,2001,103
69868,Fabaceae,peltogyne,peltogyne pauciflora,24,7,2018,205
18201,Fabaceae,peltogyne,peltogyne pauciflora,24,12,1984,359
164092,Fabaceae,peltogyne,peltogyne pauciflora,24,12,1984,359
122306,Fabaceae,peltogyne,peltogyne pauciflora,19,6,2007,170
24844,Fabaceae,peltogyne,peltogyne pauciflora,17,12,1995,351
195860,Fabaceae,peltogyne,peltogyne pauciflora,14,10,2012,288
92302,Fabaceae,peltogyne,peltogyne pauciflora,25,11,2004,330
40129,Fabaceae,peltogyne,peltogyne pauciflora,25,11,2004,330
25441,Fabaceae,peltogyne,peltogyne pauciflora,24,2,1997,55
27538,Fabaceae,peltogyne,peltogyne pauciflora,27,10,1996,301
27539,Fabaceae,peltogyne,peltogyne pauciflora,26,1,1997,26
97893,Fabaceae,peltogyne,peltogyne pauciflora,14,7,2005,195
21933,Fabaceae,peltogyne,peltogyne pauciflora,18,10,1990,291
245951,Fabaceae,peltogyne,peltogyne pauciflora,20,2,2018,51
25230,Fabaceae,peltogyne,peltogyne pauciflora,14,12,1996,349
,Fabaceae,peltogyne,peltogyne pauciflora,0,0,1840,334
,Fabaceae,peltogyne,peltogyne pauciflora,9,3,1996,69
3252689,Fabaceae,peltogyne,peltogyne pauciflora,8,8,1861,220
,Fabaceae,peltogyne,peltogyne pauciflora,0,0,1883,334
,Fabaceae,peltogyne,peltogyne pauciflora,10,9,1990,253
,Fabaceae,peltogyne,peltogyne pauciflora,10,8,1981,222
58713,Fabaceae,peltogyne,peltogyne pauciflora,1,4,2006,91
,Fabaceae,peltogyne,peltogyne pauciflora,9,3,1996,69
180800,Fabaceae,peltogyne,peltogyne pauciflora,1,4,2006,91
99263,Fabaceae,peltogyne,peltogyne pauciflora,7,2,1996,38
22714,Fabaceae,peltogyne,peltogyne pauciflora,9,3,1995,68
22943,Fabaceae,peltogyne,peltogyne pauciflora,3,9,1996,247
15061,Fabaceae,peltogyne,peltogyne pauciflora,11,11,2009,315
582339,Fabaceae,peltogyne,peltogyne pauciflora,9,3,1996,69
582336,Fabaceae,peltogyne,peltogyne pauciflora,7,1,1991,7
35136,Fabaceae,peltogyne,peltogyne pauciflora,3,7,2000,185
rb01416230,Fabaceae,peltogyne,peltogyne pauciflora,10,9,2018,253
100527100,Fabaceae,peltogyne,peltogyne pauciflora,9,4,2010,99
,Fabaceae,peltogyne,peltogyne pauciflora,0,0,1840,334
2674930,Fabaceae,peltogyne,peltogyne pauciflora,10,6,2010,161
113219,Fabaceae,peltogyne,peltogyne pauciflora,1,12,2006,335
48344,Fabaceae,peltogyne,peltogyne pauciflora,9,10,1990,282
7538,Fabaceae,peltogyne,peltogyne pauciflora,8,11,2015,312
16169,Fabaceae,peltogyne,peltogyne pauciflora,11,11,2009,315
54658,Fabaceae,peltogyne,peltogyne pauciflora,8,5,2001,128
66483,Fabaceae,peltogyne,peltogyne pauciflora,3,6,2005,154
91205,Fabaceae,peltogyne,peltogyne pauciflora,2,7,2005,183
116168,Fabaceae,peltogyne,peltogyne pauciflora,10,1,2004,10
91087,Fabaceae,peltogyne,peltogyne pauciflora,2,5,2005,122
241627,Fabaceae,peltogyne,peltogyne pauciflora,3,11,2006,307
16173,Fabaceae,peltogyne,peltogyne pauciflora,11,11,2009,315
104791,Fabaceae,peltogyne,peltogyne pauciflora,7,7,2007,188
169762,Fabaceae,peltogyne,peltogyne pauciflora,9,4,2010,99
62509,Fabaceae,peltogyne,peltogyne pauciflora,1,11,1993,305
71436,Fabaceae,peltogyne,peltogyne pauciflora,1,11,2006,305
bm000952260,Fabaceae,peltogyne,peltogyne pauciflora,9,8,1840,222
23382,Fabaceae,peltogyne,peltogyne pauciflora,12,7,1996,194
94846,Fabaceae,peltogyne,peltogyne pauciflora,3,9,2002,246
31700,Fabaceae,peltogyne,peltogyne pauciflora,1,11,1993,305
106471,Fabaceae,peltogyne,peltogyne pauciflora,10,12,1990,344
16171,Fabaceae,peltogyne,peltogyne pauciflora,11,11,2009,315
34121,Fabaceae,peltogyne,peltogyne pauciflora,5,11,2004,310
23974,Fabaceae,peltogyne,peltogyne pauciflora,1,11,1993,305
14993,Fabaceae,peltogyne,peltogyne pauciflora,11,12,2009,345
23272,Fabaceae,peltogyne,peltogyne pauciflora,10,10,1995,283
29621,Fabaceae,peltogyne,peltogyne pauciflora,9,10,1981,282
33998,Fabaceae,peltogyne,peltogyne pauciflora,3,9,2004,247
54160,Fabaceae,peltogyne,peltogyne pauciflora,7,4,2004,98
rb00525532,Fabaceae,peltogyne,peltogyne pauciflora,12,5,2004,133
91162,Fabaceae,peltogyne,peltogyne pauciflora,2,6,2005,153
128011,Fabaceae,peltogyne,peltogyne pauciflora,3,2,1972,34
18986,Fabaceae,peltogyne,peltogyne pauciflora,1,11,1993,305
23501,Fabaceae,peltogyne,peltogyne pauciflora,1,10,1996,275
52433,Fabaceae,peltogyne,peltogyne pauciflora,3,11,2001,307
41572,Fabaceae,peltogyne,peltogyne pauciflora,3,8,2005,215
47028,Fabaceae,peltogyne,peltogyne pauciflora,12,9,2005,255
47044,Fabaceae,peltogyne,peltogyne pauciflora,10,9,2004,254
rb00146187,Fabaceae,peltogyne,peltogyne pauciflora,9,10,1981,282
p00835785,Fabaceae,peltogyne,peltogyne pauciflora,10,1,1883,10
rb00146203,Fabaceae,peltogyne,peltogyne pauciflora,3,6,1952,155
88996,Fabaceae,peltogyne,peltogyne pauciflora,10,9,2004,254
91072,Fabaceae,peltogyne,peltogyne pauciflora,7,4,2004,98
128009,Fabaceae,peltogyne,peltogyne pauciflora,3,5,1971,123
103734,Fabaceae,peltogyne,peltogyne pauciflora,1,4,2006,91
5003,Fabaceae,peltogyne,peltogyne pauciflora,7,10,2009,280
11351,Fabaceae,peltogyne,peltogyne pauciflora,3,11,2001,307
rb00598554,Fabaceae,peltogyne,peltogyne pauciflora,1,3,2005,60
106333,Fabaceae,peltogyne,peltogyne pauciflora,1,5,2006,121
rb00182264,Fabaceae,peltogyne,peltogyne pauciflora,12,6,2004,164
92373,Fabaceae,peltogyne,peltogyne pauciflora,12,5,2004,133
103934,Fabaceae,peltogyne,peltogyne pauciflora,12,9,2005,255
rb00146221,Fabaceae,peltogyne,peltogyne pauciflora,10,12,1984,345
40120,Fabaceae,peltogyne,peltogyne pauciflora,10,9,2004,254
78419,Fabaceae,peltogyne,peltogyne pauciflora,2,9,2004,246
59796,Fabaceae,peltogyne,peltogyne pauciflora,3,10,2002,276
248175,Fabaceae,peltogyne,peltogyne pauciflora,10,9,2018,253
rb00146186,Fabaceae,peltogyne,peltogyne pauciflora,9,10,1990,282
23468,Fabaceae,peltogyne,peltogyne pauciflora,10,12,1990,344
89015,Fabaceae,peltogyne,peltogyne pauciflora,10,10,2004,284
189844,Fabaceae,peltogyne,peltogyne pauciflora,9,7,2012,191
103966,Fabaceae,peltogyne,peltogyne pauciflora,12,9,2005,255
44741,Fabaceae,peltogyne,peltogyne pauciflora,3,7,2000,185
5490,Fabaceae,peltogyne,peltogyne pauciflora,9,2,2009,40
29540,Fabaceae,peltogyne,peltogyne pauciflora,1,7,1982,182
13461,Fabaceae,peltogyne,peltogyne pauciflora,3,7,2000,185
101030,Fabaceae,peltogyne,peltogyne pauciflora,9,7,2005,190
240402,Fabaceae,peltogyne,peltogyne pauciflora,11,6,1996,163
99079,Fabaceae,peltogyne,peltogyne pauciflora,8,11,2005,312
p03110817,Fabaceae,peltogyne,peltogyne pauciflora,10,1,1883,10
92339,Fabaceae,peltogyne,peltogyne pauciflora,12,5,2004,133
123681,Fabaceae,peltogyne,peltogyne pauciflora,2,7,2005,183
79078,Fabaceae,peltogyne,peltogyne pauciflora,1,11,2004,306
,Fabaceae,peltogyne,peltogyne paniculata pubescens,21,7,1933,202
qrs 31375.1,Fabaceae,peltogyne,peltogyne paniculata pubescens,13,1,1956,13
u  0278439,Fabaceae,peltogyne,peltogyne paniculata pubescens,14,11,1947,318
l.2043043,Fabaceae,peltogyne,peltogyne paniculata pubescens,31,1,1862,31
ncsc00010787,Fabaceae,peltogyne,peltogyne paniculata pubescens,13,1,1956,13
wag0367922,Fabaceae,peltogyne,peltogyne paniculata pubescens,31,1,1970,31
2676254,Fabaceae,peltogyne,peltogyne paniculata pubescens,13,3,1987,72
u  0269850,Fabaceae,peltogyne,peltogyne paniculata pubescens,31,1,1982,31
v0112605f,Fabaceae,peltogyne,peltogyne paniculata pubescens,27,5,1940,148
u  0269862,Fabaceae,peltogyne,peltogyne paniculata pubescens,30,5,1947,150
barcode/00064129,Fabaceae,peltogyne,peltogyne paniculata pubescens,22,6,1850,173
rb00146165,Fabaceae,peltogyne,peltogyne paniculata pubescens,18,11,1942,322
rb01373326,Fabaceae,peltogyne,peltogyne paniculata pubescens,22,11,1942,326
154086,Fabaceae,peltogyne,peltogyne paniculata pubescens,19,1,2018,19
1083822,Fabaceae,peltogyne,peltogyne paniculata pubescens,13,3,1987,72
3568,Fabaceae,peltogyne,peltogyne paniculata pubescens,19,8,1951,231
,Fabaceae,peltogyne,peltogyne paniculata pubescens,3,9,1951,246
mel 2367292a,Fabaceae,peltogyne,peltogyne paniculata pubescens,9,8,1841,221
702510,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,8,1837,220
,Fabaceae,peltogyne,peltogyne paniculata pubescens,0,11,1908,305
,Fabaceae,peltogyne,peltogyne paniculata pubescens,0,0,1836,334
,Fabaceae,peltogyne,peltogyne paniculata pubescens,3,7,1937,184
wag.1629001,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
wag.1629000,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
v0057901f,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,8,1836,221
v0057899f,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,8,1836,221
v0057902f,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,8,1836,221
702900,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,8,1840,221
u.1316916,Fabaceae,peltogyne,peltogyne paniculata pubescens,6,11,1916,311
3257720,Fabaceae,peltogyne,peltogyne paniculata pubescens,9,8,1942,221
3257214,Fabaceae,peltogyne,peltogyne paniculata pubescens,11,8,1942,223
3257722,Fabaceae,peltogyne,peltogyne paniculata pubescens,8,5,1944,129
u.1316917,Fabaceae,peltogyne,peltogyne paniculata pubescens,6,11,1916,311
,Fabaceae,peltogyne,peltogyne paniculata pubescens,3,7,1937,184
l.1168079,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1909,244
u  0269864,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1953,1
v0112602f,Fabaceae,peltogyne,peltogyne paniculata pubescens,9,2,1970,40
22347,Fabaceae,peltogyne,peltogyne paniculata pubescens,2,6,1923,153
u  0278636,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1954,1
l.2043155,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1909,244
wag.1629002,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
wag.1628997,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1942,244
u  0278117,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1942,244
wag.1629005,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
l  0573322,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1942,244
l.1168078,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1909,244
l.2043045,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
wag.1628998,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,9,1942,244
l.2043044,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,11,1908,306
u  0278315,Fabaceae,peltogyne,peltogyne paniculata pubescens,3,6,1947,154
u  0269863,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1953,1
wag.1629003,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
,Fabaceae,peltogyne,peltogyne paniculata pubescens,0,7,1909,181
u  0269865,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1953,1
wag.1629004,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
wag.1628999,Fabaceae,peltogyne,peltogyne paniculata pubescens,10,10,1905,283
barcode/00064149,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1900,1
barcode/00064148,Fabaceae,peltogyne,peltogyne paniculata pubescens,1,1,1900,1
wag.1628996,Fabaceae,peltogyne,peltogyne paniculata pubescens,5,8,1944,218
20780,Fabaceae,peltogyne,peltogyne recifensis,16,2,1965,47
2636910,Fabaceae,peltogyne,peltogyne recifensis,19,2,2005,50
rb01403567,Fabaceae,peltogyne,peltogyne recifensis,24,10,1979,297
rb00717536,Fabaceae,peltogyne,peltogyne recifensis,19,2,2005,50
rb01152069,Fabaceae,peltogyne,peltogyne recifensis,14,4,2016,105
rb00539692,Fabaceae,peltogyne,peltogyne recifensis,14,11,1952,319
96040,Fabaceae,peltogyne,peltogyne recifensis,28,5,2005,148
2219,Fabaceae,peltogyne,peltogyne recifensis,14,11,1951,318
2407,Fabaceae,peltogyne,peltogyne recifensis,14,12,1951,348
2403816,Fabaceae,peltogyne,peltogyne recifensis,23,11,1961,327
46017,Fabaceae,peltogyne,peltogyne recifensis,24,10,1979,297
15403,Fabaceae,peltogyne,peltogyne recifensis,28,12,1967,362
45583,Fabaceae,peltogyne,peltogyne recifensis,15,2,1980,46
105092,Fabaceae,peltogyne,peltogyne recifensis,17,1,2006,17
8202,Fabaceae,peltogyne,peltogyne recifensis,28,10,1968,302
8208,Fabaceae,peltogyne,peltogyne recifensis,28,10,1968,302
75934,Fabaceae,peltogyne,peltogyne recifensis,29,10,1968,303
15405,Fabaceae,peltogyne,peltogyne recifensis,16,11,1965,320
74990,Fabaceae,peltogyne,peltogyne recifensis,17,11,1965,321
15404,Fabaceae,peltogyne,peltogyne recifensis,17,11,1965,321
76321,Fabaceae,peltogyne,peltogyne recifensis,18,7,1979,199
2674,Fabaceae,peltogyne,peltogyne recifensis,28,10,1968,302
76921,Fabaceae,peltogyne,peltogyne recifensis,14,11,1951,318
786,Fabaceae,peltogyne,peltogyne recifensis,23,11,1961,327
1830,Fabaceae,peltogyne,peltogyne recifensis,17,11,1965,321
871,Fabaceae,peltogyne,peltogyne recifensis,23,11,1961,327
99320,Fabaceae,peltogyne,peltogyne recifensis,20,8,2005,232
72,Fabaceae,peltogyne,peltogyne recifensis,14,12,1951,348
43485,Fabaceae,peltogyne,peltogyne recifensis,19,2,2005,50
101221,Fabaceae,peltogyne,peltogyne recifensis,19,2,2005,50
199736,Fabaceae,peltogyne,peltogyne recifensis,19,2,2005,50
1596,Fabaceae,peltogyne,peltogyne recifensis,16,11,1965,320
91269,Fabaceae,peltogyne,peltogyne recifensis,19,12,2004,354
62312,Fabaceae,peltogyne,peltogyne recifensis,18,7,1979,199
3608,Fabaceae,peltogyne,peltogyne recifensis,27,12,1967,361
2987,Fabaceae,peltogyne,peltogyne recifensis,11,4,1968,102
12266,Fabaceae,peltogyne,peltogyne recifensis,12,5,1991,132
52859,Fabaceae,peltogyne,peltogyne recifensis,9,5,1991,129
75624,Fabaceae,peltogyne,peltogyne recifensis,1,2,1968,32
7442,Fabaceae,peltogyne,peltogyne recifensis,11,1,1954,11
rb00857363,Fabaceae,peltogyne,peltogyne recifensis,1,6,2008,153
2575,Fabaceae,peltogyne,peltogyne recifensis,1,2,1968,32
139974,Fabaceae,peltogyne,peltogyne paradoxa,29,11,1985,333
139987,Fabaceae,peltogyne,peltogyne paradoxa,28,11,1985,332
170814,Fabaceae,peltogyne,peltogyne paradoxa,22,10,1987,295
rb00545390,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
1135734,Fabaceae,peltogyne,peltogyne paradoxa,22,10,1987,295
,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
v0093777f,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
158443,Fabaceae,peltogyne,peltogyne paradoxa,17,7,1979,198
139962,Fabaceae,peltogyne,peltogyne paradoxa,26,11,1985,330
139968,Fabaceae,peltogyne,peltogyne paradoxa,28,11,1985,332
p03110819,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
p00835795,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
rb00539689,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
rb00539691,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
bm000952261,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
1041053,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
1041035,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
85218,Fabaceae,peltogyne,peltogyne paradoxa,21,12,1998,355
2447695,Fabaceae,peltogyne,peltogyne paradoxa,23,7,1962,204
5227,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
3254695,Fabaceae,peltogyne,peltogyne paradoxa,23,7,1962,204
1041052,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
3254509,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
5226,Fabaceae,peltogyne,peltogyne paradoxa,28,7,1918,209
5225,Fabaceae,peltogyne,peltogyne paradoxa,26,8,1918,238
212,Fabaceae,peltogyne,peltogyne paradoxa,19,1,1979,19
bm000952262,Fabaceae,peltogyne,peltogyne paradoxa,9,1,1918,9
,Fabaceae,peltogyne,peltogyne paradoxa,11,10,1919,284
1041054,Fabaceae,peltogyne,peltogyne paradoxa,9,1,1918,9
p03110821,Fabaceae,peltogyne,peltogyne paradoxa,1,9,1918,244
u.1316835,Fabaceae,peltogyne,peltogyne paradoxa,11,10,1919,284
5228,Fabaceae,peltogyne,peltogyne paradoxa,9,1,1918,9
2785249,Fabaceae,peltogyne,peltogyne paradoxa,6,7,1974,187
3023928,Fabaceae,peltogyne,peltogyne paradoxa,5,10,1968,279
rb00146383,Fabaceae,peltogyne,peltogyne paradoxa,10,11,1919,314
rb00539690,Fabaceae,peltogyne,peltogyne paradoxa,9,1,1918,9
28480,Fabaceae,peltogyne,peltogyne subsessilis,15,2,1971,46
15713,Fabaceae,peltogyne,peltogyne subsessilis,27,8,1965,239
15713,Fabaceae,peltogyne,peltogyne subsessilis,27,8,1965,239
28480,Fabaceae,peltogyne,peltogyne subsessilis,15,2,1971,46
59161,Fabaceae,peltogyne,peltogyne subsessilis,17,4,1976,108
28480,Fabaceae,peltogyne,peltogyne subsessilis,15,2,1971,46
146502,Fabaceae,peltogyne,peltogyne subsessilis,25,8,1987,237
146488,Fabaceae,peltogyne,peltogyne subsessilis,14,8,1987,226
15713,Fabaceae,peltogyne,peltogyne subsessilis,27,8,1965,239
146506,Fabaceae,peltogyne,peltogyne subsessilis,26,8,1987,238
rb00761966,Fabaceae,peltogyne,peltogyne subsessilis,26,4,2010,116
140833,Fabaceae,peltogyne,peltogyne subsessilis,15,6,1986,166
104604,Fabaceae,peltogyne,peltogyne subsessilis,29,5,1982,149
236064,Fabaceae,peltogyne,peltogyne subsessilis,16,8,2009,228
28480,Fabaceae,peltogyne,peltogyne subsessilis,15,2,1971,46
59389,Fabaceae,peltogyne,peltogyne subsessilis,24,4,1976,115
rb00761970,Fabaceae,peltogyne,peltogyne subsessilis,26,4,2010,116
rb00823491,Fabaceae,peltogyne,peltogyne subsessilis,13,2,2012,44
rb00145508,Fabaceae,peltogyne,peltogyne subsessilis,29,5,1982,149
236698,Fabaceae,peltogyne,peltogyne subsessilis,14,5,1987,134
146478,Fabaceae,peltogyne,peltogyne subsessilis,10,8,1987,222
,Fabaceae,peltogyne,peltogyne subsessilis,10,11,1966,314
,Fabaceae,peltogyne,peltogyne subsessilis,10,11,1966,314
2579346,Fabaceae,peltogyne,peltogyne subsessilis,11,10,1966,284
146519,Fabaceae,peltogyne,peltogyne subsessilis,7,8,1987,219
146469,Fabaceae,peltogyne,peltogyne subsessilis,5,8,1987,217
146518,Fabaceae,peltogyne,peltogyne subsessilis,7,8,1987,219
1135753,Fabaceae,peltogyne,peltogyne subsessilis,10,11,1966,314
u.1316839,Fabaceae,peltogyne,peltogyne subsessilis,10,11,1966,314
18595,Fabaceae,peltogyne,peltogyne subsessilis,10,11,1966,314
2623159,Arecaceae,phytelephas,phytelephas tenuicaulis,25,7,1983,206
2390006,Arecaceae,phytelephas,phytelephas tenuicaulis,25,7,1983,206
2390013,Arecaceae,phytelephas,phytelephas tenuicaulis,17,6,1982,168
2389944,Arecaceae,phytelephas,phytelephas tenuicaulis,18,5,1978,138
2389945,Arecaceae,phytelephas,phytelephas tenuicaulis,29,7,2003,210
2389947,Arecaceae,phytelephas,phytelephas tenuicaulis,18,9,1929,261
2389949,Arecaceae,phytelephas,phytelephas tenuicaulis,17,1,1987,17
3011825,Arecaceae,phytelephas,phytelephas tenuicaulis,15,2,2005,46
2380348,Arecaceae,phytelephas,phytelephas tenuicaulis,20,1,2004,20
1197786,Arecaceae,phytelephas,phytelephas tenuicaulis,30,8,1997,242
2383613,Arecaceae,phytelephas,phytelephas tenuicaulis,16,5,2004,137
2625824,Arecaceae,phytelephas,phytelephas tenuicaulis,26,7,1995,207
286893,Arecaceae,phytelephas,phytelephas tenuicaulis,18,2,1988,49
2924560,Arecaceae,phytelephas,phytelephas tenuicaulis,29,7,2003,210
3579653,Arecaceae,phytelephas,phytelephas tenuicaulis,18,10,2007,291
2625796,Arecaceae,phytelephas,phytelephas tenuicaulis,26,7,1995,207
2383809,Arecaceae,phytelephas,phytelephas tenuicaulis,28,1,2004,28
2384020,Arecaceae,phytelephas,phytelephas tenuicaulis,24,6,2004,176
2383666,Arecaceae,phytelephas,phytelephas tenuicaulis,21,6,2004,173
2380540,Arecaceae,phytelephas,phytelephas tenuicaulis,25,6,2004,177
2382423,Arecaceae,phytelephas,phytelephas tenuicaulis,29,3,2004,89
286898,Arecaceae,phytelephas,phytelephas tenuicaulis,19,6,2005,170
2382020,Arecaceae,phytelephas,phytelephas tenuicaulis,27,1,2004,27
292823,Arecaceae,phytelephas,phytelephas tenuicaulis,13,11,1991,317
1462713,Arecaceae,phytelephas,phytelephas tenuicaulis,18,9,1929,261
2797701,Arecaceae,phytelephas,phytelephas tenuicaulis,25,2,2005,56
100368304,Arecaceae,phytelephas,phytelephas tenuicaulis,27,5,1997,147
2380643,Arecaceae,phytelephas,phytelephas tenuicaulis,16,6,2004,168
100368127,Arecaceae,phytelephas,phytelephas tenuicaulis,30,7,1997,211
1233150,Arecaceae,phytelephas,phytelephas tenuicaulis,20,1,1998,20
1233091,Arecaceae,phytelephas,phytelephas tenuicaulis,19,1,1998,19
2381661,Arecaceae,phytelephas,phytelephas tenuicaulis,20,1,2004,20
2380531,Arecaceae,phytelephas,phytelephas tenuicaulis,25,6,2004,177
2381451,Arecaceae,phytelephas,phytelephas tenuicaulis,20,1,2004,20
2380456,Arecaceae,phytelephas,phytelephas tenuicaulis,21,1,2004,21
290704,Arecaceae,phytelephas,phytelephas tenuicaulis,13,6,1986,164
1462714,Arecaceae,phytelephas,phytelephas tenuicaulis,18,9,1929,261
100368329,Arecaceae,phytelephas,phytelephas tenuicaulis,27,5,1997,147
287529,Arecaceae,phytelephas,phytelephas tenuicaulis,17,1,1987,17
,Arecaceae,phytelephas,phytelephas tenuicaulis,18,9,1929,261
s10/5668,Arecaceae,phytelephas,phytelephas tenuicaulis,1,8,1974,213
1159094,Arecaceae,phytelephas,phytelephas tenuicaulis,7,8,1989,219
s10/5669,Arecaceae,phytelephas,phytelephas tenuicaulis,1,8,1974,213
2632884,Arecaceae,phytelephas,phytelephas tenuicaulis,3,2,1987,34
288751,Arecaceae,phytelephas,phytelephas tenuicaulis,9,10,1990,282
2685116,Arecaceae,phytelephas,phytelephas tenuicaulis,10,6,1995,161
1198123,Arecaceae,phytelephas,phytelephas tenuicaulis,9,2,1997,40
291874,Arecaceae,phytelephas,phytelephas tenuicaulis,5,4,1987,95
290939,Arecaceae,phytelephas,phytelephas tenuicaulis,1,3,1993,60
2626351,Arecaceae,phytelephas,phytelephas tenuicaulis,8,12,1996,343
2974182,Arecaceae,phytelephas,phytelephas tenuicaulis,4,9,2005,247
287170,Arecaceae,phytelephas,phytelephas tenuicaulis,2,5,1986,122
2632919,Arecaceae,phytelephas,phytelephas tenuicaulis,3,2,1987,34
