dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:genus,species,Day,Month,Year,Day of the year
s:vascularplants:s06-21033,s06-21033,d9a4eedb-e985-4456-ad46-3df8472e00e8,adenostemma,adenostemma elatum,10,6,1982,161
https://data.biodiversitydata.nl/naturalis/specimen/u.1035177,u.1035177,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum,17,12,1977,351
s:vascularplants:s-p-12095,s-p-12095,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum,10,2,1982,41
https://data.biodiversitydata.nl/naturalis/specimen/u.1035195,u.1035195,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum concinnum,17,12,1977,351
https://data.biodiversitydata.nl/naturalis/specimen/l.3505043,l.3505043,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum hispidulum,7,9,1985,250
http://n2t.net/ark:/65665/3cc584cdb-9fb6-4254-b0bc-3d58220ae57a,3473783,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum incisum,31,5,1997,151
https://data.biodiversitydata.nl/naturalis/specimen/u.1035200,u.1035200,7ddf754f-d193-4cc9-b351-99906754a03b,adiantum,adiantum incisum indicum,1,3,1978,60
s:vascularplants:s09-40631,s09-40631,7ddf754f-d193-4cc9-b351-99906754a03b,aerides,aerides ringens,19,4,1978,109
640b1ee8-87d1-42b9-901d-8d7ed550f7f5,560967,7ddf754f-d193-4cc9-b351-99906754a03b,aerobryopsis,aerobryopsis membranacea,19,9,2001,262
b0534aa6-cb74-40e4-8193-82edf34a7c92,560966,7ddf754f-d193-4cc9-b351-99906754a03b,aerobryopsis,aerobryopsis membranacea,19,9,2001,262
s:vascularplants:s14-47832,s14-47832,7ddf754f-d193-4cc9-b351-99906754a03b,aeschynanthus,aeschynanthus perrottetii,11,2,1982,42
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200369388,l  0369388,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.0967517,l.0967517,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.2689688,l.2689688,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.0966412,l.0966412,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.2689687,l.2689687,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.0966414,l.0966414,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
https://data.biodiversitydata.nl/naturalis/specimen/l.0966413,l.0966413,7ddf754f-d193-4cc9-b351-99906754a03b,aganosma,aganosma cymosa,6,3,1973,65
s:vascularplants:s10-31698,s10-31698,7ddf754f-d193-4cc9-b351-99906754a03b,agapetes,agapetes,19,4,1978,109
s:vascularplants:s06-21322,s06-21322,7ddf754f-d193-4cc9-b351-99906754a03b,ageratina,ageratina adenophora,10,1,1982,10
s:vascularplants:s08-10661,s08-10661,7ddf754f-d193-4cc9-b351-99906754a03b,alchemilla,alchemilla indica,20,10,1982,293
https://data.biodiversitydata.nl/naturalis/specimen/l.3492255,l.3492255,,aleuritopteris,aleuritopteris krameri (franch. & sav.) ching,25,8,1985,237
s:vascularplants:s10-41109,s10-41109,3f8a1297-3259-4700-91fc-acc4170b27ce,ammannia,ammannia,1,2,1980,32
s:vascularplants:s10-41088,s10-41088,7ddf754f-d193-4cc9-b351-99906754a03b,ammannia,ammannia baccifera,1,2,1980,32
s:vascularplants:s10-40986,s10-40986,7ddf754f-d193-4cc9-b351-99906754a03b,ammannia,ammannia baccifera,2,3,1980,62
